aba	阿巴	Aba	abaA
xiaozhou	小舟	Small boat	xiaozhouS
xiaozhou	小周	Xiao Zhou	xiaozhouX
xiaozhu	小猪	Piglet	xiaozhuP
xiaozhu	小住	To stay	xiaozhuT
xiaozhuan	小传	Short biography	xiaozhuanS
xiaozhuan	小篆	Lesser seal	xiaozhuanL
xiaozhuang	晓庄	Small rural estate	xiaozhuangS
xiaozhuo	小酌	Small drink	xiaozhuoS
xiaozi	小子	Boy	xiaoziB
xiaozi	小字	Small characters	xiaoziS
xiaozi	孝子	Filial son	xiaoziF
xiaozong	孝宗	Ancestral Emperor	xiaozongA
xiaozong	小宗	Small clan	xiaozongS
xiaozu	小组	Group	xiaozuG
xiaozu	小卒	Pawn	xiaozuP
xiapa	吓怕	To frighten	xiapaT
xiapai	下排	Lower Row	xiapaiL
xiapao	吓跑	To scare away	xiapaoT
xiapian	下篇	Chapter	xiapianC
xiapian	下片	Lower section	xiapianL
xiapin	下品	Lower Rank	xiapinL
xiapo	下坡	Downhill	xiapoD
xiaqi	下棋	Play chess	xiaqiP
xiaqi	下期	Next period	xiaqiN
xiaqi	下起	To rise	xiaqiTo r
xiaqi	下气	To exert oneself	xiaqiTo e
xiaqian	下潜	Bottoming out	xiaqianB
xiaqiang	下腔	Lower hem	xiaqiangL
xiaqie	下切	Undercut	xiaqieU
xiaqing	下情	Lower-level feelings	xiaqingL
xiaqiu	夏秋	Summer and Autumn	xiaqiuS
xiaqu	下去	Go down	xiaquG
xiaqu	辖区	Administrative region	xiaquA
xiaque	下阕	Pelvic area	xiaqueP
xiaren	吓人	Scary	xiarenS
xiaren	下人	Downward person	xiarenD
xiari	夏日	Summer day	xiariS
xiashan	下山	Go down the mountain	xiashanG
xiashe	下设	Set up	xiasheS
xiashen	下身	Lower body	xiashenL
xiashen	下渗	Percolation	xiashenP
xiashen	下神	To lose one's focus	xiashenT
xiashou	下手	Start	xiashouSt
xiashou	夏收	Summer Harvest	xiashouSu
xiashu	下属	Subordinate	xiashuS
xiashu	下述	The following	xiashuT
xiashuang	下霜	Frost	xiashuangF
xiashui	下水	Launched	xiashuiL
xiashuo	瞎说	Nonsense	xiashuoN
xiasi	吓死	To scare to death	xiasiT
xiasi	遐思	Distant thoughts	xiasiD
xiatai	下台	Step down	xiataiS
xiati	下体	Lower Body	xiatiL
xiatian	夏天	Summer	xiatianSu
xiatian	下田	Shindai	xiatianSh
xiatong	下同	Same Below	xiatongS
xiatu	下图	Below picture	xiatuB
xiatui	下推	To push down	xiatuiT
xiawan	峡湾	Fjord	xiawanF
xiawang	下网	Downward net	xiawangD
xiawen	下文	Following text	xiawenF
xiawu	下午	Afternoon	xiawuA
xiaxi	罅隙	Cracks	xiaxiC
xiaxia	下下	Downward	xiaxiaD
xiaxia	下辖	Subordinate Prefecture	xiaxiaS
xiaxian	下线	To disconnect	xiaxianT
xiaxian	下限	Lower limit	xiaxianL
xiaxian	下陷	Subsidence	xiaxianS
xiaxian	夏县	Xia County	xiaxianX
xiaxiang	遐想	Daydream	xiaxiangD
xiaxiang	下乡	Go to the countryside	xiaxiangG
xiaxiao	狭小	Small	xiaxiaoS
xiaxie	下泄	Downward Release	xiaxieD
xiaxie	下泻	Flow down	xiaxieF
xiaxin	夏新	New summer	xiaxinN
xiaxing	下行	Downtrend	xiaxingD
xiaxuan	下旋	Backflip	xiaxuanB
xiaxue	下雪	Snow	xiaxueS
xiaxun	下旬	Last ten days of a month	xiaxunL
xiaxun	夏汛	Summer Flooding	xiaxunS
xiaya	下压	Press Down	xiayaP
xiayan	瞎眼	Blind	xiayanB
xiayan	下咽	Throat	xiayanT
xiayan	夏衍	Xia Yan	xiayanX
xiayao	下腰	Lower Waist	xiayaoL
xiaye	下页	Next Page	xiayeN
xiaye	夏夜	Summer night	xiayeS
xiaye	下野	Lower Wilderness	xiayeL
xiayi	狭义	Narrow	xiayiN
xiayi	下移	Downward	xiayiD
xiayi	侠义	Chivalrous	xiayiC
xiayi	夏衣	Summer Clothes	xiayiS
xiaying	下应	Respond Downward	xiayingR
xiayou	下游	Lower reaches	xiayouL
xiayou	下有	Below	xiayouB
xiayu	下雨	Rain	xiayuR
xiayu	夏雨	Summer Rain	xiayuS
xiayu	夏禹	Xia Yu	xiayuX
xiayu	下愚	To be foolish	xiayuT
xiayuan	下院	Lower house	xiayuanLower h
xiayuan	下原	Lower Yang River	xiayuanLower Y
xiazai	下载	Download	xiazaiD
xiazang	下葬	Funeral	xiazangF
xiazhai	狭窄	Narrow	xiazhaiN
xiazhi	下肢	Lower Limb	xiazhiL
xiazhi	夏至	Summer solstice	xiazhiS
xiazhi	辖制	To restrain	xiazhiT
xiazhong	下种	Lower Seed	xiazhongL
xiazhou	下周	Next week	xiazhouN
xiazhu	下注	To bet	xiazhuTo b
xiazhu	下箸	To pass to someone else	xiazhuTo p
xiazhuang	下装	Lower garments	xiazhuangL
xiazhui	下坠	Fall	xiazhuiF
xiazi	瞎子	Blind man	xiaziB
xiazi	匣子	Small box	xiaziS
xiazi	下子	To play a game	xiaziT
xiazuo	下作	Bad	xiazuoB
xibai	洗白	Wash-out glaze	xibaiW
xibai	惜败	To lose with regret	xibaiT
xibao	细胞	Cell	xibaoC
xibao	喜报	Good news	xibaoG
xibei	西北	Northwest	xibeiN
xibian	西边	West	xibianW
xibian	溪边	By the stream	xibianB
xibie	惜别	Farewell party	xibieF
xibin	西宾	Western guest	xibinW
xibo	稀薄	Thin	xiboT
xibo	锡箔	Aluminum foil	xiboA
xibo	锡伯	Sib	xiboS
xibo	西伯	Western Region	xiboW
xibu	西部	West	xibuW
xibu	膝部	Knee	xibuK
xibu	细部	Details	xibuD
xicai	洗菜	Wash vegetables	xicaiW
xican	西餐	Western food	xicanW
xicao	席草	Straw Mat	xicaoS
xice	西侧	West side	xiceW
xichan	析产	Analyze Production	xichanA
xichang	细长	Slim	xichangSl
xichang	戏场	Stage	xichangSt
xichang	西昌	Xichang	xichangX
xichen	吸尘	Vacuuming	xichenV
xicheng	西城	West City	xichengW
xicheng	戏称	Nickname	xichengN
xicheng	洗成	Made clean	xichengM
xichi	细齿	Fine teeth	xichiF
xichong	吸虫	Parasite worm	xichongP
xichu	析出	To separate out	xichuT
xichu	洗出	Washing out	xichuW
xichuan	西川	Western Region	xichuanW
xichuang	西窗	West window	xichuangW
xichun	惜春	Fond of spring	xichunF
xici	细瓷	Fine porcelain	xiciF
xicun	西村	Xicun	xicunX
xidai	细带	Thin strap	xidaiT
xidao	吸到	Absorbed to	xidaoA
xidao	西到	Westward	xidaoW
xide	西德	West Germany	xideW
xideng	熄灯	To turn off the lights	xidengT
xidi	洗地	Floor washing	xidiF
xidi	洗涤	To wash	xidiT
xidi	隙地	Small space	xidiS
xidi	西堤	West embankment	xidiW
xidian	吸点	To drink a little	xidianT
xidian	细点	Details	xidianD
xidiao	洗掉	Wash off	xidiaoW
xidiao	吸掉	Xi Diao	xidiaoX
xidong	西东	West and East	xidongW
xidu	吸毒	Take drugs	xiduT
xidu	细读	Read carefully	xiduR
xiduan	西段	Western segment	xiduanWestern s
xiduan	西端	Western end	xiduanWestern e
xidun	西顿	West Town	xidunW
xieben	写本	Write a Book	xiebenW
xiebian	斜边	Hypotenuse	xiebianH
xiecao	斜槽	Inclined trough	xiecaoI
xiecha	斜插	Diagonal insertion	xiechaD
xiechen	谢忱	Thank you	xiechenT
xiecheng	写成	Written	xiechengW
xiechi	挟持	Hold hostage	xiechiH
xiechu	写出	Write out	xiechuW
xiechu	泄出	Released	xiechuR
xiechuan	卸船	Unload ship	xiechuanU
xiecong	胁从	Side pain	xiecongS
xiecuo	写错	Wrong answer	xiecuoW
xiedai	携带	Carry	xiedaiCarry
xiedai	懈怠	Laziness	xiedaiL
xiedai	鞋带	Shoelaces	xiedaiS
xiedai	挟带	carry away	xiedaicarry 
xiedao	写道	Wrote (literally	xiedaoW
xiede	写得	Written	xiedeW
xiedi	鞋底	Sole	xiediS
xiedian	写点	Write a little	xiedianW
xieding	协定	Agreement	xiedingA
xiedou	械斗	Armed brawl	xiedouA
xiedu	亵渎	Profane	xieduP
xiedu	斜度	Inclination	xieduI
xiee	邪恶	Evil	xieeE
xiefa	写法	Writing style	xiefaW
xiegao	写稿	To draft	xiegaoT
xiege	写个	Write a	xiegeW
xiegei	写给	Write to	xiegeiW
xiegen	鞋跟	Heel	xiegenH
xieguo	写过	Written	xieguoW
xieguo	挟裹	Carries	xieguoC
xiehan	血汗	Sweat	xiehanS
xiehang	颉颃	Estrangement	xiehangE
xiehe	协和	Harmony	xieheHarmony
xiehe	谐和	Harmonious	xieheHarmoni
xiehong	泄洪	Flood discharge	xiehongF
xiehong	血红	Blood red	xiehongB
xiehou	邂逅	chance meeting	xiehouc
xiehui	协会	Association	xiehuiA
xiehuo	卸货	Disembarkation	xiehuoD
xiejia	谢家	Xie family	xiejiaX
xiejiang	鞋匠	Shoemaker	xiejiangS
xiejiao	邪教	Cult	xiejiaoC
xiejiao	斜角	Oblique angle	xiejiaoO
xiejiao	歇脚	To rest	xiejiaoT
xiejin	写进	To Write Into	xiejinT
xiejing	写景	Landscape painting	xiejingL
xiejue	谢绝	politely refuse	xiejuep
xiekao	斜靠	Lean against	xiekaoL
xielai	写来	Written	xielaiW
xielao	偕老	To grow old together	xielaoT
xieli	协理	Cooperative management	xieliC
xieliang	歇凉	Cool rest	xieliangC
xieliang	谢良	Xie Liang	xieliangX
xielou	泄露	Leak	xielouL
xielou	泄漏	Leak	xielouL
xielu	血路	Blood Trail (Figurative - path to success	xieluB
xielu	邪路	Wrong path	xieluW
xielv	斜率	Slope	xielvS
xiema	鞋码	Shoe size	xiemaS
xiemai	血脉	Bloodline	xiemaiB
xieman	写满	Filled with writing	xiemanF
xiemao	鞋帽	Shoes and hats	xiemaoS
xiemi	泄密	Leak secrets	xiemiL
xiemian	斜面	Slope	xiemianSl
xiemian	鞋面	Shoe cover	xiemianSh
xieming	写明	To write down	xiemingT
xiemou	谢某	Xie	xiemouX
xieni	斜睨	Slanting glance	xieniS
xiepian	写篇	To write a piece	xiepianT
xiepo	胁迫	Coercion	xiepoC
xiepo	斜坡	Declivity	xiepoD
xieqi	泄气	Discourage	xieqiD
xieqi	写起	To write down	xieqiT
xieqiao	斜桥	Sloping bridge	xieqiaoS
xieqie	斜切	Slanting cut	xieqieS
xieqin	血亲	Blood relative	xieqinB
xiequ	撷取	To extract	xiequT
xiequan	写全	Write completely	xiequanW
xier	希尔	Hill	xierH
xier	喜儿	Xi'er	xierX
xieren	卸任	To resign	xierenT
xieren	写人	Depict people	xierenD
xieru	写入	Written into	xieruW
xieshang	协商	Negotiate	xieshangN
xieshang	写上	Write on	xieshangW
xieshang	歇晌	Rest Time	xieshangR
xieshe	斜射	Oblique Light	xiesheO
xieshen	斜身	Side stance	xieshenS
xieshen	邪神	Evil gods	xieshenE
xiesheng	写生	Life Drawing	xieshengL
xieshi	写实	Realistic	xieshiR
xieshi	写诗	Writing poetry	xieshiW
xieshi	斜视	Strabismus	xieshiS
xieshi	胁侍	Xiaoshi	xieshiX
xieshou	携手	Join hands	xieshouJ
xieshu	血书	Blood Letter	xieshuB
xieshu	解数	Solve the problem	xieshuS
xieshuan	血栓	Thrombus	xieshuanT
xieshuo	邪说	Heretical doctrine	xieshuoH
xieta	斜塔	Leaning tower	xietaL
xietang	血糖	Blood sugar	xietangB
xietang	斜躺	Lying diagonally	xietangL
xieti	斜体	Italics	xietiI
xietiao	协调	Coordinate	xietiaoC
xietong	协同	Cooperate	xietongC
xietou	鞋头	Shoe tip	xietouS
xiewa	鞋袜	Shoes and socks	xiewaS
xiewan	亵玩	Reckless handling	xiewanR
xiewei	些微	Slight	xieweiS
xiewei	写为	Written as	xieweiW
xiewen	斜纹	Diagonal pattern	xiewenD
xiexi	歇息	Rest	xiexiR
xiexia	写下	Write Down	xiexiaW
xiexia	卸下	To unload	xiexiaT
xiexia	歇下	Stop	xiexiaS
xiexian	斜线	Diagonal Line	xiexianD
xiexiao	些小	A few	xiexiaoA
xiexie	谢谢	Thank you	xiexieTh
xiexie	写写	Write a little	xiexieW
xiexie	写些	To write some	xiexieTo
xiexie	歇歇	Rest a while	xiexieR
xiexin	写信	To write a letter	xiexinT
xiexin	协心	Harmonious heart	xiexinH
xiexing	血型	blood group	xiexingblood g
xiexing	血腥	Bloody	xiexingBloody
xiexing	血性	Blood nature	xiexingBlood n
xiexing	楔形	Cuneiform	xiexingC
xiexing	偕行	To travel together	xiexingT
xiexu	些许	A little	xiexuA l
xiexu	些须	A few	xiexuA f
xiexue	谐谑	Frolic	xiexueF
xieya	血压	Blood pressure	xieyaB
xieyang	斜阳	Setting sun	xieyangS
xieyi	协议	Agreement	xieyiA
xieyi	谢意	Thanks	xieyiT
xieyi	写意	Freehand	xieyiF
xieyi	斜倚	Leaning against	xieyiL
xieyi	血衣	Blood-colored Clothing	xieyiB
xieyin	谐音	Homophone	xieyinH
xieyu	写于	Written in	xieyuW
xieyuan	血缘	Blood relationship	xieyuanB
xieyue	协约	Treaty	xieyueT
xiezhai	血债	Blood Debt	xiezhaiB
xiezhan	血战	Bloody battle	xiezhanB
xiezhang	写账	To keep accounts	xiezhangT
xiezhao	写照	Portrayal	xiezhaoP
xiezhao	斜照	Slanting sunlight	xiezhaoS
xiezhe	挟着	Carrying	xiezheC
xiezhen	写真	Portrait	xiezhenP
xiezhen	谐振	Resonance	xiezhenR
xiezhi	獬豸	Illustrious Bi	xiezhiI
xiezhu	协助	Assist	xiezhuA
xiezi	鞋子	Shoes	xieziSh
xiezi	写字	To write	xieziT
xiezi	蝎子	Scorpion	xieziSc
xiezi	楔子	Wedge	xieziW
xiezui	谢罪	Apology	xiezuiA
xiezuo	写作	Writing	xiezuoW
xiezuo	协作	Cooperate	xiezuoC
xifa	洗发	Shampoo	xifaS
xifa	戏法	Magic trick	xifaM
xifa	西法	Western Law	xifaW
xifa	细发	Fine hair	xifaF
xifan	稀饭	Porridge	xifanP
xifang	西方	West	xifangW
xifei	西非	West Africa	xifeiW
xifen	细分	Segmentation	xifenS
xifeng	西风	Western Wind	xifengW
xifeng	西峰	Xifeng	xifengX
xifu	媳妇	Daughter-in-law	xifuD
xifu	吸附	Adsorption	xifuA
xifu	西服	Suit	xifuSu
xifu	系缚	Shackled	xifuSh
xifu	西府	Xifu	xifuX
xigai	膝盖	Knee	xigaiK
xigan	吸干	To absorb completely	xiganT
xige	洗个	To wash	xigeT
xige	戏歌	Play Song	xigeP
xigong	西贡	Saigon	xigongS
xigong	西宫	Western Palace	xigongW
xigong	细工	Fine Craftsmanship	xigongF
xigu	溪谷	Stream	xiguS
xigua	西瓜	Watermelon	xiguaW
xiguan	习惯	Habit	xiguanH
xiguan	吸管	Straw	xiguanS
xiguan	细管	Fine Tube	xiguanF
xiguan	细观	To examine closely	xiguanT
xiguan	膝关	Knee joint	xiguanK
xiguo	洗过	Washed	xiguoW
xiha	嘻哈	Hip-hop	xihaH
xihan	稀罕	Rare	xihanR
xihan	西汉	Western Han Dynasty	xihanW
xihao	喜好	Hobby	xihaoH
xihao	洗好	Finished washing	xihaoF
xihe	溪河	Stream river	xiheS
xihe	西河	West River	xiheW
xihou	洗后	After washing	xihouA
xihu	西湖	West Lake	xihuW
xihua	细化	Detail	xihuaD
xihua	西化	Westernization	xihuaWesterni
xihua	西画	Western Painting	xihuaWestern 
xihua	西华	Xihua	xihuaX
xihuan	喜欢	Like	xihuanL
xihuo	熄火	Stall	xihuoS
xiji	袭击	Attack	xijiA
xiji	希冀	Hope	xijiH
xiji	洗剂	Detergent	xijiD
xijian	习见	Experience	xijianE
xijiang	西江	Xijiang River	xijiangX
xijiao	洗脚	Wash feet	xijiaoW
xijie	细节	Detail	xijieD
xijie	西街	West Street	xijieW
xijie	西接	Bordering to the west	xijieB
xijie	洗劫	Plunder	xijieP
xijin	西晋	Western Jin Dynasty	xijinW
xijin	西进	Advance westward	xijinA
xijin	吸进	Ingest	xijinI
xijin	锡金	Silver bars	xijinS
xijing	洗净	To wash clean	xijingT
xijing	西京	Western Capital	xijingWeste
xijing	西经	West longitude	xijingWest 
xijiu	喜酒	Wedding feast	xijiuW
xiju	喜剧	Comedy	xijuC
xiju	戏剧	Drama	xijuD
xiju	徙居	Nomad	xijuN
xijuan	席卷	To sweep	xijuanT
xijun	细菌	Bacteria	xijunB
xikan	细看	Examine closely	xikanE
xikang	西康	Xikang	xikangX
xila	希腊	Greece	xilaG
xilai	袭来	To attack	xilaiT
xilan	锡兰	Sri Lanka	xilanS
xile	席勒	Schiller	xileS
xilei	烯类	Alkenes	xileiA
xilei	喜泪	Joyful tears	xileiJ
xili	洗礼	Baptism	xiliB
xili	犀利	Sharp	xiliS
xili	吸力	Adsorption force	xiliA
xili	系里	Department	xiliD
xilian	洗脸	Wash face	xilianW
xilian	洗练	Refine	xilianR
xiliang	西凉	Western Liang	xiliangW
xiliao	西辽	West Liao	xiliaoW
xilie	系列	Series	xilieS
xilin	西林	Xilin	xilinX
xiliu	溪流	Stream	xiliuSt
xiliu	细流	Small stream	xiliuSm
xiliu	西流	West flow	xiliuW
xilou	西楼	West Tower	xilouW
xilou	戏楼	Theatre	xilouT
xilu	西路	West Road	xiluWest R
xilu	西麓	West Slope	xiluWest S
xiluo	奚落	Taunt	xiluoT
xiluo	稀落	Scattered sparsely	xiluoS
ximao	细毛	Fine Hair	ximaoF
ximen	西门	West Gate	ximenW
ximeng	西蒙	Simon	ximengS
ximi	细密	Fine and dense	ximiF
ximi	戏迷	Drama Fan	ximiD
ximian	西面	West side	ximianW
ximie	熄灭	Extinguish	ximieE
ximie	席篾	Bamboo mat	ximieB
ximin	细民	Commoner	ximinC
ximo	吸墨	Xi Mo	ximoX
xina	吸纳	Absorb	xinaA
xinai	心爱	Beloved	xinaiB
xinai	西奈	Sinai Peninsula	xinaiS
xinan	西南	Southwest	xinanS
xinao	嬉闹	Frolic	xinaoF
xinban	锌板	Zinc Plate	xinbanZ
xinbao	心包	Pericardium	xinbaoP
xinbei	新北	Xinzhi	xinbeiX
xinbi	信笔	With a Pen	xinbiW
xinbian	新编	Newly compiled	xinbianN
xinbiao	信标	Lighthouse	xinbiaoL
xinbing	心病	Mental burden	xinbingM
xinbo	心搏	Heart pounding	xinboH
xinbu	信步	To stroll leisurely	xinbuT
xincai	新蔡	Xincai	xincaiX
xincha	新茶	New Tea	xinchaN
xinchai	薪柴	Fuelwood	xinchaiF
xinchang	心肠	Heart	xinchangH
xinchao	新潮	Fashionable	xinchaoF
xinchao	心潮	Waves of emotion	xinchaoW
xinche	新车	New car	xincheN
xincheng	新城	New city	xinchengN
xinchou	薪酬	Chinese:  Remuneration	xinchouC
xinchou	辛丑	Xin Chou	xinchouX
xinchu	新出	Newly produced	xinchuN
xinchun	新春	New Year	xinchunN
xinci	新词	New word	xinciN
xincun	心存	To keep in mind	xincunT
xincun	新村	New village	xincunN
xinda	心大	Big-hearted	xindaB
xindai	信贷	Credit	xindaiC
xindang	新党	New Party	xindangN
xindao	信道	Signal path	xindaoS
xinde	心得	Experience	xindeE
xinde	新德	New virtue	xindeN
xindi	心底	Deep within one's heart	xindiD
xindi	心地	Heart	xindiH
xindi	辛迪	Cindy	xindiC
xinding	心定	Heart is settled	xindingH
xindong	心动	Infatuation	xindongI
xinei	系内	Inside the tie	xineiI
xiner	心儿	Heart	xinerH
xinfa	新法	Xin Fa	xinfaXin 
xinfa	新发	Xinfa (New Issue	xinfaXinf
xinfan	心烦	Upset	xinfanU
xinfang	信访	Correspondence	xinfangC
xinfang	新房	New house	xinfangN
xinfang	心房	Heart	xinfangH
xinfei	心扉	Closed-minded	xinfeiCl
xinfei	心肺	Cardio-pulmonary	xinfeiCa
xinfen	锌粉	Zinc powder	xinfenZ
xinfeng	信封	Envelope	xinfengE
xinfeng	信奉	To believe in	xinfengTo
xinfeng	新风	Fresh air	xinfengF
xinfeng	信风	Trade wind	xinfengTr
xinfeng	欣逢	Gladly encounter	xinfengG
xinfu	信服	Believe	xinfuB
xinfu	心服	To be obedient to the heart	xinfuT
xinfu	新妇	New wife	xinfuN
xingai	性爱	Sexual Love	xingaiS
xingan	心肝	Heart and liver	xinganH
xingan	兴安	Xing'an	xinganX
xingang	新港	New port	xingangN
xingao	新高	New Heights	xingaoN
xingban	兴办	Promote	xingbanPr
xingban	行板	Performance Board	xingbanPe
xingban	型板	Panel	xingbanPa
xingbang	兴邦	Promote the nation	xingbangP
xingbi	行笔	To write	xingbiT
xingbi	性比	Sexual Comparison	xingbiS
xingbian	形变	Deformation	xingbianD
xingbiao	星表	Star Table	xingbiaoS
xingbie	性别	Gender	xingbieG
xingcai	型材	Profile	xingcaiP
xingcang	行藏	Hidden	xingcangH
xingcao	行草	Cursive Script	xingcaoC
xingcha	省察	Provincial administration	xingchaP
xingchang	刑场	Execution ground	xingchangE
xingche	行车	Driving	xingcheD
xingchen	星辰	Star	xingchenS
xingcheng	形成	Form	xingchengF
xingcheng	行程	Journey	xingchengJ
xingchuan	行船	Sailing	xingchuanS
xingcun	幸存	Survive	xingcunS
xingdao	行到	As you go	xingdaoA
xingde	行得	Able to move	xingdeA
xingde	幸得	Luckily	xingdeL
xingdeng	星等	Star Magnitude	xingdengS
xingdong	行动	Action	xingdongA
xingdu	行都	Hengdu	xingduH
xinge	信鸽	Carrier pigeons	xingeC
xinge	性恶	Evil nature	xingeE
xinge	辛格	Singh	xingeS
xinger	幸而	Fortunately	xingerF
xinger	星儿	Star	xingerS
xinger	杏儿	Apricot	xingerA
xinger	性儿	(Refers to personality	xinger(
xingfa	刑法	Criminal law	xingfaC
xingfa	刑罚	Punishment	xingfaP
xingfen	兴奋	Excited	xingfenE
xingfu	幸福	Happy	xingfuH
xinggan	性感	Sex appeal	xingganS
xingge	性格	Character	xinggeC
xinggong	行宫	Imperial palace	xinggongI
xingguang	星光	Starlight	xingguangS
xingguo	兴国	Revive the Nation	xingguoR
xingguo	行过	To pass by	xingguoT
xinghai	星海	Star sea	xinghaiS
xinghai	形骸	Body	xinghaiB
xinghan	星汉	Stars and moons	xinghanS
xinghao	型号	Model	xinghaoM
xinghao	幸好	Fortunately	xinghaoF
xinghao	行好	To be well	xinghaoT
xinghe	星河	Milky Way	xingheM
xinghua	杏花	Apricot Blossoms	xinghuaA
xinghua	兴化	Xinghua	xinghuaXi
xinghua	兴华	Xīnghuá	xinghuaXī
xinghui	行贿	Bribery	xinghuiB
xingji	星级	Star rating	xingjiS
xingji	星际	Interstellar	xingjiIn
xingji	性急	Impetuous	xingjiIm
xingji	形迹	Movements and expression of a person	xingjiM
xingjian	兴建	Construct	xingjianC
xingjiang	行将	About to	xingjiangA
xingjin	行进	Advance	xingjinA
xingjing	行径	Behavior	xingjingB
xingjing	行经	pass by	xingjingp
xingjiu	行酒	Wine	xingjiuW
xingju	刑具	Instruments of Torture	xingjuI
xingjun	行军	March	xingjunM
xingke	行客	Traveler	xingkeT
xingkong	星空	Night sky	xingkongN
xingkong	行空	Empty	xingkongE
xingkui	幸亏	Luckily	xingkuiL
xinglai	醒来	Wake up	xinglaiW
xingle	行乐	Enjoy	xingleE
xingli	行李	Luggage	xingliL
xingli	行礼	To perform rituals	xingliT
xingli	姓李	Surname Li	xingliS
xinglie	行猎	Hunting expedition	xinglieH
xinglin	杏林	Medical circle	xinglinM
xinglin	姓林	Surname Lin	xinglinS
xingling	性灵	"Sexual Spirit	xingling"
xinglong	兴隆	Xinglong	xinglongX
xinglu	行路	Walking	xingluW
xinglu	姓鲁	Surname Lu	xingluS
xinglv	行旅	Traveler	xinglvT
xingmao	形貌	Appearance	xingmaoA
xingmei	姓梅	Surname Mei	xingmeiS
xingmian	幸免	Escape	xingmianE
xingming	姓名	Name	xingmingN
xingming	性命	Life	xingmingL
xingming	星名	Star Name	xingmingS
xingmu	醒目	Eye-catching	xingmuE
xingneng	性能	Performance	xingnengP
xingpan	星盘	Astrolabe	xingpanA
xingping	兴平	Xingping	xingpingX
xingping	兴坪	Xingping	xingpingX
xingqi	兴起	Rise	xingqiR
xingqi	星期	Week	xingqiW
xingqi	刑期	Prison term	xingqiP
xingqi	行期	Time for travel	xingqiT
xingqian	行前	Before traveling	xingqianB
xingqiang	行腔	Manner of speaking	xingqiangM
xingqie	行窃	Petty theft	xingqieP
xingqin	省亲	Visit relatives	xingqinV
xingqing	性情	Temperament	xingqingT
xingqing	兴庆	Xingqing	xingqingX
xingqiu	星球	Planet	xingqiuP
xingqu	兴趣	Interest	xingquI
xingqun	星群	Star clusters	xingqunS
xingren	行人	Pedestrian	xingrenP
xingren	杏仁	Almond	xingrenA
xingrong	形容	Describe	xingrongD
xingru	形如	Resembling	xingruR
xingsan	星散	Stars scattered	xingsanS
xingsao	腥臊	Foul smell	xingsaoF
xingse	形色	Appearance	xingseA
xingshan	行善	Do good deeds	xingshanD
xingshang	行商	Merchant	xingshangM
xingshen	形神	Form and spirit	xingshenF
xingshen	幸甚	Very lucky	xingshenV
xingsheng	兴盛	To flourish	xingshengT
xingsheng	形声	Ideogram-phonogram	xingshengI
xingsheng	行省	Province	xingshengP
xingsheng	形胜	Form surpassing	xingshengF
xingshi	形式	Form	xingshiF
xingshi	形势	Situation	xingshiSi
xingshi	行使	Exercise	xingshiE
xingshi	行驶	Drive	xingshiD
xingshi	行事	Behavior	xingshiB
xingshi	刑事	Criminal	xingshiC
xingshi	姓氏	Surname	xingshiSu
xingshu	杏树	Apricot Tree	xingshuA
xingshu	行书	Semi-cursive script	xingshuS
xingshuai	兴衰	Rise and Fall	xingshuaiR
xingsi	形似	Resemble	xingsiR
xingtai	形态	Form	xingtaiF
xingtai	邢台	Xingtai	xingtaiX
xingti	形体	Form	xingtiF
xingti	星体	Star	xingtiS
xingtian	刑天	Xutian	xingtianX
xingtou	行头	Clothing	xingtouC
xingtu	星图	Star atlas	xingtuS
xingtuan	星团	Star cluster	xingtuanS
xinguan	新冠	Covid-19	xinguanC
xinguan	新馆	New Building	xinguanN
xingwang	兴旺	Prosperous	xingwangP
xingwang	兴亡	Rise and fall	xingwangR
xingwei	行为	Behavior	xingweiB
xingwei	腥味	fishy smell	xingweif
xingwei	兴味	Interest	xingweiI
xingwei	姓卫	Surname Wei	xingweiS
xingwen	行文	To write	xingwenT
xingwu	醒悟	Realize	xingwuR
xingxi	星系	Galaxy	xingxiG
xingxiang	形象	Image	xingxiangI
xingxiang	星象	Constellation	xingxiangC
xingxiao	行销	Marketing	xingxiaoM
xingxing	星星	Star	xingxingStar
xingxing	行星	Planet	xingxingP
xingxing	猩猩	Orangutan	xingxingO
xingxing	行刑	Execute punishment	xingxingE
xingxing	星形	Star-shaped	xingxingStar-
xingxing	悻悻	Reluctantly	xingxingR
xingxiu	星宿	Constellations	xingxiuC
xingxu	兴许	Perhaps	xingxuP
xingxun	刑讯	Interrogation	xingxunI
xingyang	荥阳	Xingyang	xingyangX
xingye	兴业	Promotion of Industry and Trade	xingyeP
xingye	星夜	Starry night	xingyeS
xingyi	行医	To practice medicine	xingyiT
xingyi	形意	Xing Yi	xingyiX
xingyin	行吟	Wandering poet	xingyinW
xingying	行营	Military camp	xingyingM
xingying	形影	Shadow	xingyingS
xingyu	性欲	Lust	xingyuL
xingyue	星月	Stars and Moon	xingyueS
xingyun	幸运	Lucky	xingyunL
xingyun	星云	Nebula	xingyunN
xingyun	行云	Flowing Clouds	xingyunF
xingzha	行诈	Deceitful	xingzhaD
xingzhe	行者	Traveler	xingzheT
xingzhen	刑侦	Criminal investigation	xingzhenC
xingzheng	行政	Administration	xingzhengA
xingzhi	性质	Nature	xingzhiN
xingzhi	兴致	Interest	xingzhiI
xingzhi	行至	To reach	xingzhiTo r
xingzhi	形制	Type	xingzhiTy
xingzhi	行知	To practice and know	xingzhiTo p
