生产储备	shengchanchubei
平衡型共同基金	pinghengxinggongtongjijin
评级相对较高	pingjixiangduijiaogao
平均化价格	pingjunhuajiage
平均利润率	pingjunlirunlv
平均利润增长率	pingjunlirunzengzhanglv
平均资本负债率	pingjunzibenfuzhailv
凭证式国债	pingzhengshiguozhai
凭证式债券	pingzhengshizhaiquan
破产可转换证券	pochankezhuanhuanzhengquan
普通服务管理局	putongfuwuguanliju
普通股比率	putonggubilv
普通股等价物	putonggudengjiawu
普通股基金	putonggujijin
普通股投票	putonggutoupiao
普通股指数	putongguzhishu
普通提款权	putongtikuanquan
普通债务债券	putongzhaiwuzhaiquan
汽车贷款证券	qichedaikuanzhengquan
汽车金融公司	qichejinronggongsi
期货交易所	qihuojiaoyisuo
期货经纪公司	qihuojingjigongsi
期货利差买卖	qihuolichamaimai
期货龙听网	qihuolongtingwang
期货自营商	qihuoziyingshang
齐鲁金融网	qilujinrongwang
期权交换系统	qiquanjiaohuanxitong
期权清算公司	qiquanqingsuangongsi
期权调整差价法	qiquantiaozhengchajiafa
其他特色服务	qitatesefuwu
其他支票存款	qitazhipiaocunkuan
期望收益率	qiwangshouyilv
气穴型股票	qixuexinggupiao
企业财务顾问	qiyecaiwuguwen
企业存款证明	qiyecunkuanzhengming
企业大学网	qiyedaxuewang
企业孵化器	qiyefuhuaqi
企业集团财务公司	qiyejituancaiwugongsi
企业金融服务	qiyejinrongfuwu
企业经济效益	qiyejingjixiaoyi
企业理财服务	qiyelicaifuwu
企业所得税法	qiyesuodeshuifa
企业网上银行	qiyewangshangyinhang
企业衔头发票	qiyexiantoufapiao
企业信用度	qiyexinyongdu
企业银行账户	qiyeyinhangzhanghu
企业债券承销	qiyezhaiquanchengxiao
契约式计划	qiyueshijihua
前景不乐观	qianjingbuleguan
钱景中国网	qianjingzhongguowang
钱眼观察网	qianyanguanchawang
前一个交易日	qianyigejiaoyiri
潜在收购目标	qianzaishougoumubiao
强制性供款	qiangzhixinggongkuan
强制性规则	qiangzhixingguize
青岛国际银行	qingdaoguojiyinhang
清算所成员	qingsuansuochengyuan
清算所银行间支付系统	qingsuansuoyinhangjianzhifuxitong
清算所资金	qingsuansuozijin
请直接联系	qingzhijielianxi
取得后条款	qudehoutiaokuan
取得控制权	qudekongzhiquan
驱赶代理人建议	qugandailirenjianyi
取回合同约定	quhuihetongyueding
取款通知单	qukuantongzhidan
曲线外证券	quxianwaizhengquan
取消辛迪加	quxiaoxindijia
全部或部分执行	quanbuhuobufenzhixing
全部委托或不委托	quanbuweituohuobuweituo
全部销售或取消销售	quanbuxiaoshouhuoquxiaoxiaoshou
全部转让给	quanbuzhuanranggei
全国报价服务	quanguobaojiafuwu
全国金融公司	quanguojinronggongsi
全国社会保障基金	quanguoshehuibaozhangjijin
全流通时代	quanliutongshidai
全面风险管理	quanmianfengxianguanli
全面金融服务	quanmianjinrongfuwu
全能银行制	quannengyinhangzhi
全球商业经典	quanqiushangyejingdian
全球资本市场	quanqiuzibenshichang
全权优先股	quanquanyouxiangu
券商概念股	quanshanggainiangu
券商直投业务	quanshangzhitouyewu
全天成交金额	quantianchengjiaojine
权益回报率	quanyihuibaolv
权责发生制	quanzefashengzhi
权证风险揭示书	quanzhengfengxianjieshishu
权证交易价格	quanzhengjiaoyijiage
权重股下跌	quanzhongguxiadie
权重指标股	quanzhongzhibiaogu
确定组中值	quedingzuzhongzhi
确认查询系统	querenchaxunxitong
热门债券清单	remenzhaiquanqingdan
认购证方式	rengouzhengfangshi
认股权证价值	renguquanzhengjiazhi
任何可能性	renhekenengxing
人口统计趋势	renkoutongjiqushi
人民币贬值	renminbibianzhi
人民币存款	renminbicunkuan
人民币贷款	renminbidaikuan
人民币兑换	renminbiduihuan
人民币兑美元	renminbiduimeiyuan
人民币汇价	renminbihuijia
人民币汇率	renminbihuilv
人民币理财	renminbilicai
人民币升值	renminbishengzhi
人民币现金	renminbixianjin
人民币业务	renminbiyewu
人民币以上	renminbiyishang
人民币制度	renminbizhidu
人民币资金	renminbizijin
人民币最新汇率	renminbizuixinhuilv
人民币左右	renminbizuoyou
人身和财产安全	renshenhecaichananquan
任一方向市场	renyifangxiangshichang
任意公积金	renyigongjijin
日本长期信用银行	ribenchangqixinyongyinhang
日本股票存托凭证	ribengupiaocuntuopingzheng
日本开发银行	ribenkaifayinhang
日本输出入银行	ribenshuchuruyinhang
日本兴业银行	ribenxingyeyinhang
日均成交量	rijunchengjiaoliang
日均交易额	rijunjiaoyie
日涨跌幅限制	rizhangdiefuxianzhi
融通动力先锋	rongtongdonglixianfeng
融通基金管理有限公司	rongtongjijinguanliyouxiangongsi
融通领先成长	rongtonglingxianchengzhang
融通新蓝筹	rongtongxinlanchou
融资业务操作流程	rongziyewucaozuoliucheng
融资租赁合同	rongzizulinhetong
如果您还想	ruguoninhaixiang
如下表所示	ruxiabiaosuoshi
瑞士国家银行	ruishiguojiayinhang
瑞士联合银行	ruishilianheyinhang
瑞士信贷银行	ruishixindaiyinhang
瑞士银行公司	ruishiyinhanggongsi
瑞银创富网	ruiyinchuangfuwang
塞勒凯弗尔兼并法案	sailekaifuerjianbingfaan
三重免税债券	sanchongmianshuizhaiquan
散户线下行	sanhuxianxiaxing
三井信托银行	sanjingxintuoyinhang
三菱信托银行	sanlingxintuoyinhang
杀取消一个定单	shaquxiaoyigedingdan
山东品牌网	shandongpinpaiwang
山东银行协会	shandongyinhangxiehui
上穿均价线	shangchuanjunjiaxian
上海财经大学	shanghaicaijingdaxue
上海产权网	shanghaichanquanwang
上海金融学院	shanghaijinrongxueyuan
上海浦东发展银行	shanghaipudongfazhanyinhang
上海期货大厦	shanghaiqihuodasha
上海森洋投资	shanghaisenyangtouzi
上海新兰德	shanghaixinlande
上海新资源	shanghaixinziyuan
上海有色金属网	shanghaiyousejinshuwang
上海震雷投资	shanghaizhenleitouzi
上海证券报	shanghaizhengquanbao
上海证券交易所	shanghaizhengquanjiaoyisuo
商品本位制	shangpinbenweizhi
商品抵押贷款	shangpindiyadaikuan
商品和服务	shangpinhefuwu
商品集资操作者	shangpinjizicaozuozhe
商品交易场所	shangpinjiaoyichangsuo
商品交易顾问	shangpinjiaoyiguwen
商品交易中心	shangpinjiaoyizhongxin
商品期货交易委员会	shangpinqihuojiaoyiweiyuanhui
商品期货套利	shangpinqihuotaoli
商品期货投资	shangpinqihuotouzi
商品税收套利	shangpinshuishoutaoli
商品依托债券	shangpinyituozhaiquan
商品专门账户	shangpinzhuanmenzhanghu
上舍入购买	shangsherugoumai
上市公司质量	shangshigongsizhiliang
上市前委托	shangshiqianweituo
上投阿尔法	shangtouaerfa
上投摩根基金管理有限公司	shangtoumogenjijinguanliyouxiangongsi
上投内需动力	shangtouneixudongli
上网定价发行	shangwangdingjiafaxing
上网竞价发行	shangwangjingjiafaxing
上下游厂商	shangxiayouchangshang
商业抵押贷款	shangyediyadaikuan
商业发票贴现	shangyefapiaotiexian
商业借款人	shangyejiekuanren
商业粮食库存	shangyeliangshikucun
商业票据兑换行	shangyepiaojuduihuanxing
商业信用帐户	shangyexinyongzhanghu
商业信用证	shangyexinyongzheng
商业性套期保值	shangyexingtaoqibaozhi
商业行为委员会	shangyexingweiweiyuanhui
商业银行贷款	shangyeyinhangdaikuan
商业银行法	shangyeyinhangfa
商业征信所	shangyezhengxinsuo
少数股东持股	shaoshugudongchigu
少数股东利益	shaoshugudongliyi
设备信托凭证	shebeixintuopingzheng
社会保障资金	shehuibaozhangzijin
社会流通股	shehuiliutonggu
蛇形汇率制	shexinghuilvzhi
设置收购障碍	shezhishougouzhangai
申万巴黎基金管理有限公司	shenwanbalijijinguanliyouxiangongsi
申万盛利精选	shenwanshenglijingxuan
申万盛利强化	shenwanshengliqianghua
申万新动力	shenwanxindongli
申万新经济	shenwanxinjingji
沈阳诚浩证券	shenyangchenghaozhengquan
深圳财务总监网	shenzhencaiwuzongjianwang
深圳发展银行	shenzhenfazhanyinhang
深圳外汇网	shenzhenwaihuiwang
深圳新兰德	shenzhenxinlande
深圳智多盈	shenzhenzhiduoying
深圳珠宝网	shenzhenzhubaowang
生产单位名称	shengchandanweimingcheng
生存者有权获得账户	shengcunzheyouquanhuodezhanghu
生活费调整	shenghuofeitiaozheng
升平降走势图	shengpingjiangzoushitu
剩余到期日	shengyudaoqiri
剩余遗产继承人	shengyuyichanjichengren
市场参与者	shichangcanyuzhe
市场定价机制	shichangdingjiajizhi
市场观望气氛	shichangguanwangqifen
市场化改革	shichanghuagaige
市场化限价指令	shichanghuaxianjiazhiling
市场间交易	shichangjianjiaoyi
市场间交易系统	shichangjianjiaoyixitong
市场进入回报率	shichangjinruhuibaolv
市场禁止行为	shichangjinzhixingwei
市场竞投比	shichangjingtoubi
市场运行情况	shichangyunxingqingkuang
市场占有率	shichangzhanyoulv
实际波动率	shijibodonglv
实际负利率	shijifulilv
实际控制人	shijikongzhiren
实际认购总额	shijirengouzonge
实际现金价值	shijixianjinjiazhi
世界财经报道	shijiecaijingbaodao
世界经理人日报	shijiejinglirenribao
世界银行贷款	shijieyinhangdaikuan
十六分之一	shiliufenzhiyi
史密森协定	shimisenxieding
试探性买入	shitanxingmairu
十万分之一	shiwanfenzhiyi
失业保险基金	shiyebaoxianjijin
失业保险制度	shiyebaoxianzhidu
使用信用卡	shiyongxinyongka
使用银行卡	shiyongyinhangka
石油井头价	shiyoujingtoujia
石油输出国组织特别基金	shiyoushuchuguozuzhitebiejijin
失踪纳税人	shizongnashuiren
实做成交价	shizuochengjiaojia
首次公开发行	shoucigongkaifaxing
首次公开发行股票	shoucigongkaifaxinggupiao
受此利空的冲击	shoucilikongdechongji
受到市场青睐	shoudaoshichangqinglai
收发存总账	shoufacunzongzhang
收费缴款书	shoufeijiaokuanshu
售付汇证明	shoufuhuizhengming
收付实现制	shoufushixianzhi
收付实现制会计	shoufushixianzhikuaiji
受行业影响	shouhangyeyingxiang
受控商品期货	shoukongshangpinqihuo
受控外国公司	shoukongwaiguogongsi
收款人地址	shoukuanrendizhi
收款人姓名	shoukuanrenxingming
受利好刺激	shoulihaociji
收盘价记录单	shoupanjiajiludan
收盘交易指令	shoupanjiaoyizhiling
授权人工号	shouquanrengonghao
收入和最高资产的限制性权利	shouruhezuigaozichandexianzhixingquanli
收入型基金	shouruxingjijin
收市最优价格	shoushizuiyoujiage
首席财务官	shouxicaiwuguan
首席研究员	shouxiyanjiuyuan
首席营运官	shouxiyingyunguan
首席执行官	shouxizhixingguan
手续费另收	shouxufeilingshou
手续费收入	shouxufeishouru
受押人条款	shouyarentiaokuan
收益价格比	shouyijiagebi
收益率稳定	shouyilvwending
收益率招标	shouyilvzhaobiao
受益所有人	shouyisuoyouren
收益稳定性	shouyiwendingxing
收益型有限合伙	shouyixingyouxianhehuo
数量不成比例	shuliangbuchengbili
双方拍卖市场	shuangfangpaimaishichang
双轨银行制	shuangguiyinhangzhi
水平价差交易	shuipingjiachajiaoyi
税前弥补亏损	shuiqianmibukuisun
税收等价物	shuishoudengjiawu
税收基本法规	shuishoujibenfagui
税收缴款书	shuishoujiaokuanshu
税收会计凭证	shuishoukuaijipingzheng
税收强制执行	shuishouqiangzhizhixing
税收所有权证	shuishousuoyouquanzheng
税收完税证	shuishouwanshuizheng
四川经济日报	sichuanjingjiribao
四川经济新闻网	sichuanjingjixinwenwang
四川在线财经	sichuanzaixiancaijing
似乎更具有	sihugengjuyou
私募股权基金	simuguquanjijin
私募理财网	simulicaiwang
私下交易经纪商	sixiajiaoyijingjishang
速动资产净额	sudongzichanjinge
苏格兰皇家银行	sugelanhuangjiayinhang
苏黎世金融市场	sulishijinrongshichang
苏黎世妖魔	sulishiyaomo
苏联对外贸易银行	sulianduiwaimaoyiyinhang
苏联国家银行	sulianguojiayinhang
苏联建设银行	sulianjiansheyinhang
算术投资法	suanshutouzifa
损失类贷款	sunshileidaikuan
所持公司股份	suochigongsigufen
所得税前扣除	suodeshuiqiankouchu
索赔权凭证	suopeiquanpingzheng
所属子公司	suoshuzigongsi
所有权属于	suoyouquanshuyu
所有权证书	suoyouquanzhengshu
所有者权益	suoyouzhequanyi
塔夫脱哈特莱法	tafutuohatelaifa
他们会综合	tamenhuizonghe
泰达荷银成长	taidaheyinchengzhang
泰达荷银基金管理有限公司	taidaheyinjijinguanliyouxiangongsi
泰达荷银精选	taidaheyinjingxuan
泰达荷银首选	taidaheyinshouxuan
泰达荷银稳定	taidaheyinwending
泰达荷银效率	taidaheyinxiaolv
泰达荷银预算	taidaheyinyusuan
泰达荷银周期	taidaheyinzhouqi
泰华国际银行	taihuaguojiyinhang
泰华农民银行	taihuanongminyinhang
太平洋安全银行	taipingyanganquanyinhang
太平洋股票交易所	taipingyanggupiaojiaoyisuo
太平洋证券	taipingyangzhengquan
泰信基金管理有限公司	taixinjijinguanliyouxiangongsi
泰信先行策略	taixinxianxingcelue
泰信优质生活	taixinyouzhishenghuo
泰信中短债	taixinzhongduanzhai
套牢投资者	taolaotouzizhe
特别处理股票	tebiechuligupiao
特别求偿权	tebieqiuchangquan
特别子账户	tebiezizhanghu
特别综合账户	tebiezonghezhanghu
特定用途资产	tedingyongtuzichan
特码和走势图	temahezoushitu
特色融资业务	teserongziyewu
特殊贸易结算	teshumaoyijiesuan
特殊纳税人	teshunashuiren
特殊总账户	teshuzongzhanghu
特许权使用费	texuquanshiyongfei
特许权信托	texuquanxintuo
提高安全级别	tigaoanquanjibie
提高存款准备金率	tigaocunkuanzhunbeijinlv
提供股票行情者	tigonggupiaohangqingzhe
提前撤资罚金	tiqianchezifajin
提前或延期结算	tiqianhuoyanqijiesuan
提前结算和拖后结算	tiqianjiesuanhetuohoujiesuan
提前赎回边缘	tiqianshuhuibianyuan
提前赎回特权	tiqianshuhuitequan
提前赎回条款	tiqianshuhuitiaokuan
提前赎回债券	tiqianshuhuizhaiquan
天弘基金管理有限公司	tianhongjijinguanliyouxiangongsi
天弘精选混合	tianhongjingxuanhunhe
田纳西河谷管理局	tiannaxiheguguanliju
天天基金网	tiantianjijinwang
天下财经网	tianxiacaijingwang
天治财富增长	tianzhicaifuzengzhang
天治基金管理有限公司	tianzhijijinguanliyouxiangongsi
天治品质优选	tianzhipinzhiyouxuan
调节性交易	tiaojiexingjiaoyi
跳跃式增长	tiaoyueshizengzhang
调整后价格基础	tiaozhenghoujiagejichu
调整后履约价格	tiaozhenghoulvyuejiage
调整后债务余额	tiaozhenghouzhaiwuyue
调整后总收入	tiaozhenghouzongshouru
贴现经纪人	tiexianjingjiren
贴现收益率	tiexianshouyilv
停复业登记	tingfuyedengji
停业通知书	tingyetongzhishu
同步经济指标	tongbujingjizhibiao
通吃岛证券	tongchidaozhengquan
同方向变化	tongfangxiangbianhua
通货紧缩因子	tonghuojinsuoyinzi
通货膨胀加剧	tonghuopengzhangjiaju
统计数据显示	tongjishujuxianshi
同样有风险	tongyangyoufengxian
同业拆借市场	tongyechaijieshichang
统一报价系统	tongyibaojiaxitong
统一沉没基金	tongyichenmojijin
统一抵押债券	tongyidiyazhaiquan
统一公债券	tongyigongzhaiquan
统一行情报告单	tongyihangqingbaogaodan
同一会计期内交易	tongyikuaijiqineijiaoyi
通用汽车领头理论	tongyongqichelingtoulilun
通胀会计调整	tongzhangkuaijitiaozheng
通知贷款利率	tongzhidaikuanlilv
通知货币市场	tongzhihuobishichang
通知收回债券	tongzhishouhuizhaiquan
通知支付资本	tongzhizhifuziben
投行业务收入	touhangyewushouru
投机性投票	toujixingtoupiao
投机性需求	toujixingxuqiu
头肩式走势	toujianshizoushi
投资策略报告	touziceluebaogao
投资多元化	touziduoyuanhua
投资发展部	touzifazhanbu
投资分析方法	touzifenxifangfa
投资风险较大	touzifengxianjiaoda
投资风险较小	touzifengxianjiaoxiao
投资管理公司	touziguanligongsi
投资管理能力	touziguanlinengli
投资合伙人	touzihehuoren
投资回报承诺	touzihuibaochengnuo
投资回报率	touzihuibaolv
投资理财工具	touzilicaigongju
投资收藏品	touzishoucangpin
投资性购房	touzixinggoufang
投资性需求	touzixingxuqiu
投资银行家	touziyinhangjia
投资银行业务	touziyinhangyewu
投资有风险	touziyoufengxian
投资与合作	touziyuhezuo
投资增长过快	touzizengzhangguokuai
投资者风险	touzizhefengxian
投资者关系	touzizheguanxi
投资者教育	touzizhejiaoyu
投资者青睐	touzizheqinglai
投资者收益	touzizheshouyi
投资者心理	touzizhexinli
投资者咨询	touzizhezixun
投资中国网	touzizhongguowang
投资咨询公司	touzizixungongsi
投资总体回报	touzizongtihuibao
投资组合理论	touzizuhelilun
图表分析师	tubiaofenxishi
图表分析师责任	tubiaofenxishizeren
土地发展贷款	tudifazhandaikuan
退还汇款人	tuihuanhuikuanren
退伍军人管理贷款	tuiwujunrenguanlidaikuan
妥善处理好	tuoshanchulihao
托收统一协定	tuoshoutongyixieding
外国买卖率	waiguomaimailv
外国投资公司	waiguotouzigongsi
外国直接投资	waiguozhijietouzi
外汇保证金	waihuibaozhengjin
外汇保值条款	waihuibaozhitiaokuan
外汇兑换券	waihuiduihuanquan
外汇管理体制改革	waihuiguanlitizhigaige
外汇核销单	waihuihexiaodan
外汇交易中心	waihuijiaoyizhongxin
外汇经纪人	waihuijingjiren
外汇理财周刊	waihuilicaizhoukan
外汇卖出价	waihuimaichujia
外汇买入价	waihuimairujia
外汇平准基金	waihuipingzhunjijin
外汇平准帐户	waihuipingzhunzhanghu
外汇期权交易	waihuiqiquanjiaoyi
外汇倾销政策	waihuiqingxiaozhengce
外汇人民币	waihuirenminbi
外汇市场交易	waihuishichangjiaoyi
外汇体制改革	waihuitizhigaige
外汇许可证	waihuixukezheng
外汇盈利渠道	waihuiyingliqudao
外盘期货港股网	waipanqihuogangguwang
外商独资企业	waishangduziqiye
外资法人银行	waizifarenyinhang
外资金融机构	waizijinrongjigou
外资控股银行	waizikongguyinhang
万家和谐增长	wanjiahexiezengzhang
万家基金管理有限公司	wanjiajijinguanliyouxiangongsi
完全登记债券	wanquandengjizhaiquan
完全免税债券	wanquanmianshuizhaiquan
完全授权交易	wanquanshouquanjiaoyi
王朝彩票网	wangchaocaipiaowang
网润融资讯	wangrunrongzixun
网上交易平台	wangshangjiaoyipingtai
网商融资协议	wangshangrongzixieyi
网上信用记录	wangshangxinyongjilu
未必会成为	weibihuichengwei
未成年人受益法	weichengnianrenshouyifa
维持利率不变	weichililvbubian
威尔鑫投资	weierxintouzi
违法违章处理	weifaweizhangchuli
违法违章户	weifaweizhanghu
未分离账户	weifenlizhanghu
未分配利润	weifenpeilirun
未分配盈余	weifenpeiyingyu
微观经济学	weiguanjingjixue
为客户提供	weikehutigong
未来一段时间内	weilaiyiduanshijiannei
未平仓合约	weipingcangheyue
未平仓空头合约	weipingcangkongtouheyue
未评级证券	weipingjizhengquan
未清偿证券	weiqingchangzhengquan
未上市股票	weishangshigupiao
为什么选择	weishenmexuanze
委托保管账户	weituobaoguanzhanghu
委托管理集资	weituoguanlijizi
委托候选人名单	weituohouxuanrenmingdan
委托投资基金	weituotouzijijin
未执行全权委托	weizhixingquanquanweituo
稳步健康发展	wenbujiankangfazhan
稳健性原则	wenjianxingyuanze
文书通知书	wenshutongzhishu
温州华富投资	wenzhouhuafutouzi
我们提供零售	womentigonglingshou
我要富贵网	woyaofuguiwang
无保留意见	wubaoliuyijian
无差别交易	wuchabiejiaoyi
无担保债券	wudanbaozhaiquan
无担保债务	wudanbaozhaiwu
无抵押债务	wudiyazhaiwu
无法正常进行	wufazhengchangjinxing
无风险套利	wufengxiantaoli
无风险资产	wufengxianzichan
武汉新兰德	wuhanxinlande
无记名债券	wujimingzhaiquan
无记名证券	wujimingzhengquan
物价指数保值条款	wujiazhishubaozhitiaokuan
无理性买入期权	wulixingmairuqiquan
无面值股票	wumianzhigupiao
无面值证券	wumianzhizhengquan
五年期以上	wunianqiyishang
无权参与分红	wuquancanyufenhong
无认股权证	wurenguquanzheng
无收益货币	wushouyihuobi
无套利机会	wutaolijihui
无现钞银行	wuxianchaoyinhang
无行为能力代理人	wuxingweinenglidailiren
无遗嘱死亡者	wuyizhusiwangzhe
无忧会计网	wuyoukuaijiwang
无忧外汇网	wuyouwaihuiwang
无证市政债券	wuzhengshizhengzhaiquan
无证证券交易	wuzhengzhengquanjiaoyi
无中介人交易	wuzhongjierenjiaoyi
西班牙国际银行	xibanyaguojiyinhang
西北农民银行	xibeinongminyinhang
西德尔清算系统	xideerqingsuanxitong
西德意志地方银行	xideyizhidifangyinhang
西德意志州银行	xideyizhizhouyinhang
西非货币联盟	xifeihuobilianmeng
西汉志黄金	xihanzhihuangjin
西门子财务服务	ximenzicaiwufuwu
西南财经大学	xinancaijingdaxue
息票收益率	xipiaoshouyilv
西太平洋银行公司	xitaipingyangyinhanggongsi
系统性风险	xitongxingfengxian
西亚那银行	xiyanayinhang
下穿均价线	xiachuanjunjiaxian
厦门国际银行	xiamenguojiyinhang
厦门商业银行	xiamenshangyeyinhang
下一步打算	xiayibudasuan
现代商业银行	xiandaishangyeyinhang
现货兑换率	xianhuoduihuanlv
现货交换期货	xianhuojiaohuanqihuo
现金管理国库券	xianjinguanliguokuquan
现金管理账户	xianjinguanlizhanghu
现金回收率	xianjinhuishoulv
现金价值人寿保险	xianjinjiazhirenshoubaoxian
现金交易板	xianjinjiaoyiban
现金流量表	xianjinliuliangbiao
现金流债券	xianjinliuzhaiquan
现金流转周期	xianjinliuzhuanzhouqi
现金票证汇总	xianjinpiaozhenghuizong
现金收支情况	xianjinshouzhiqingkuang
现金替代物	xianjintidaiwu
先进先出法	xianjinxianchufa
限售存量股份	xianshoucunlianggufen
限售股解禁	xianshougujiejin
现在或将来	xianzaihuojianglai
相等基点互换	xiangdengjidianhuhuan
相等价差头寸	xiangdengjiachatoucun
香港恒生银行	xiangganghengshengyinhang
香港汇丰银行	xiangganghuifengyinhang
香港集友银行	xianggangjiyouyinhang
香港交易所	xianggangjiaoyisuo
香港金融市场	xianggangjinrongshichang
香港旅游卡	xiangganglvyouka
相关商品价差	xiangguanshangpinjiacha
相关投资组合	xiangguantouzizuhe
项目贷款证券化	xiangmudaikuanzhengquanhua
项目执行能力	xiangmuzhixingnengli
向上级行借款	xiangshangjixingjiekuan
向社会发行	xiangshehuifaxing
向社会公开发行	xiangshehuigongkaifaxing
向市场注资	xiangshichangzhuzi
相同信用等级	xiangtongxinyongdengji
向银行提供	xiangyinhangtigong
小矮人债券	xiaoairenzhaiquan
小刀纽约期货交易所	xiaodaoniuyueqihuojiaoyisuo
小额贷款业务	xiaoedaikuanyewu
消费品价格指数	xiaofeipinjiagezhishu
消费品物价指数	xiaofeipinwujiazhishu
消费税纳税人	xiaofeishuinashuiren
消费物价上涨	xiaofeiwujiashangzhang
消费物价指数	xiaofeiwujiazhishu
消费信贷业务	xiaofeixindaiyewu
消费型基金	xiaofeixingjijin
消费者承担	xiaofeizhechengdan
消费者物价指数	xiaofeizhewujiazhishu
消费者债券	xiaofeizhezhaiquan
小盘次新股	xiaopancixingu
小企业管理局	xiaoqiyeguanliju
销售代理协议	xiaoshoudailixieyi
销售登记表	xiaoshoudengjibiao
销售管理和行政费用	xiaoshouguanlihexingzhengfeiyong
销售价格差异	xiaoshoujiagechayi
销售价格指数	xiaoshoujiagezhishu
销售毛利率	xiaoshoumaolilv
销售品种结构	xiaoshoupinzhongjiegou
销售品种结构差异	xiaoshoupinzhongjiegouchayi
销售日记账	xiaoshourijizhang
销售收入分类账	xiaoshoushourufenleizhang
销售收入分析	xiaoshoushourufenxi
销售收入净额	xiaoshoushourujinge
销售收入净值	xiaoshoushourujingzhi
销售收入日记账	xiaoshoushoururijizhang
销售收入预测	xiaoshoushouruyuce
销售收入预算	xiaoshoushouruyusuan
销售收入总额	xiaoshoushouruzonge
销售收益率	xiaoshoushouyilv
销售总收入	xiaoshouzongshouru
小数点错位	xiaoshudiancuowei
消息面分析	xiaoximianfenxi
斜连值走势图	xielianzhizoushitu
协调与配合	xietiaoyupeihe
协助交易员	xiezhujiaoyiyuan
信诚基金管理有限公司	xinchengjijinguanliyouxiangongsi
信诚精萃成长	xinchengjingcuichengzhang
信诚四季红	xinchengsijihong
信达澳银基金管理有限公司	xindaaoyinjijinguanliyouxiangongsi
信达澳银领先	xindaaoyinlingxian
新大陆教育贷款营销公司	xindalujiaoyudaikuanyingxiaogongsi
信达资产管理公司	xindazichanguanligongsi
信贷保证计划	xindaibaozhengjihua
信贷分析员	xindaifenxiyuan
信贷和投资	xindaihetouzi
信贷评级机构	xindaipingjijigou
信贷投放过多	xindaitoufangguoduo
信贷协会股份	xindaixiehuigufen
信贷资金投向	xindaizijintouxiang
辛迪加邀请信	xindijiayaoqingxin
新东方理财	xindongfanglicai
新东风无忧价值网	xindongfengwuyoujiazhiwang
新股认购方式	xingurengoufangshi
新股套利者	xingutaolizhe
鑫国联期货	xinguolianqihuo
新华财经媒体	xinhuacaijingmeiti
新会计报告	xinkuaijibaogao|xinhuijibaogao
信汇通知书	xinhuitongzhishu
信汇委托书	xinhuiweituoshu
信汇证明书	xinhuizhengmingshu
新加坡发展银行	xinjiapofazhanyinhang
新加坡华联银行	xinjiapohualianyinhang
新加坡交易所	xinjiapojiaoyisuo
新加坡金融市场	xinjiapojinrongshichang
新开工项目	xinkaigongxiangmu
鑫荣祥油画	xinrongxiangyouhua
新时代信托	xinshidaixintuo
新时代证券	xinshidaizhengquan
新世纪混合	xinshijihunhe
新世纪基金	xinshijijijin
新世纪基金管理有限公司	xinshijijijinguanliyouxiangongsi
新世纪金融公司	xinshijijinronggongsi
新世纪期货	xinshijiqihuo
新思路投资	xinsilutouzi
信托声明书	xintuoshengmingshu
信托投资公司	xintuotouzigongsi
新闻收录机	xinwenshouluji
信息不对称	xinxibuduichen
信息发布人	xinxifaburen
信息披露工作	xinxipilugongzuo
信息披露内容	xinxipiluneirong
信息披露义务	xinxipiluyiwu
信息披露制度	xinxipiluzhidu
辛辛那提股票交易所	xinxinnatigupiaojiaoyisuo
新兴行业主张	xinxinghangyezhuzhang
新兴市场基金	xinxingshichangjijin
信用摆动额	xinyongbaidonge
信用保证书	xinyongbaozhengshu
信用调查机构	xinyongdiaochajigou
信用调查机关	xinyongdiaochajiguan
信用风险控制	xinyongfengxiankongzhi
信用卡计划	xinyongkajihua
信用卡申请	xinyongkashenqing
信用卡透支	xinyongkatouzhi
信用卡业务	xinyongkayewu
信用卡证券	xinyongkazhengquan
信用可靠程度	xinyongkekaochengdu
信用控制体系	xinyongkongzhitixi
信用评级机构	xinyongpingjijigou
信用评价体系	xinyongpingjiatixi
信用数据库	xinyongshujuku
信用协同组合	xinyongxietongzuhe
信用证保兑业务	xinyongzhengbaoduiyewu
信用证方式	xinyongzhengfangshi
信用证交易	xinyongzhengjiaoyi
信用证业务	xinyongzhengyewu
新增不良贷款	xinzengbuliangdaikuan
新增固定资产	xinzenggudingzichan
形成和发展	xingchenghefazhan
行权股票过户费	xingquangupiaoguohufei
行权起始日	xingquanqishiri
行使认股权	xingshirenguquan
形态走势图	xingtaizoushitu
兴业基金管理有限公司	xingyejijinguanliyouxiangongsi
兴业可转债	xingyekezhuanzhai
兴业全球视野	xingyequanqiushiye
行政管理当局	xingzhengguanlidangju
行政管理费用	xingzhengguanlifeiyong
行政管理控制	xingzhengguanlikongzhi
行政管理会计	xingzhengguanlikuaiji
行政管理预算	xingzhengguanliyusuan
熊市差价套利	xiongshichajiataoli
匈牙利国家银行	xiongyaliguojiayinhang
休眠合伙人	xiumianhehuoren
虚报注册资本	xubaozhuceziben
需求拉动通货膨胀	xuqiuladongtonghuopengzhang
选择性股利	xuanzexingguli
学生贷款营销公司	xueshengdaikuanyingxiaogongsi
学生信用卡	xueshengxinyongka
循环信用额度	xunhuanxinyongedu
寻求解决方案	xunqiujiejuefangan
