阿姆斯里克	amusilike
健康保险管理办法	jiankangbaoxianguanlibanfa
国债专项资金	guozhaizhuanxiangzijin
医疗废物管理条例	yiliaofeiwuguanlitiaoli
国务院证券委员会	guowuyuanzhengquanweiyuanhui
国家卫生城市标准	guojiaweishengchengshibiaozhun
可自由兑换货币	keziyouduihuanhuobi
宪法性法律	xianfaxingfalv
拿破仑法典	napolunfadian
黑市价格	heishijiage
欠妥之处	qiantuozhichu
重大动物疫情应急条例	zhongdadongwuyiqingyingjitiaoli
交通事故处理程序规定	jiaotongshiguchulichengxuguiding
设备管理制度	shebeiguanlizhidu
信托公司管理办法	xintuogongsiguanlibanfa
知识产权研究会	zhishichanquanyanjiuhui
欧洲专利局	ouzhouzhuanliju
失效专利	shixiaozhuanli
禁止使用童工规定	jinzhishiyongtonggongguiding
中华人民共和国继承法	zhonghuarenmingongheguojichengfa
会计从业资格管理办法	kuaijicongyezigeguanlibanfa
非法就业	feifajiuye
专门人民法院	zhuanmenrenminfayuan
强行法	qiangxingfa
结构化产品	jiegouhuachanpin
专业标准化技术委员会	zhuanyebiaozhunhuajishuweiyuanhui
非居民个人	feijumingeren
企业年金试行办法	qiyenianjinshixingbanfa
长城保护条例	changchengbaohutiaoli
中华人民共和国测绘法	zhonghuarenmingongheguocehuifa
涉外民事关系	shewaiminshiguanxi
机动车第三者责任险	jidongchedisanzhezerenxian
注册商标转让	zhuceshangbiaozhuanrang
学习驾驶技术	xuexijiashijishu
消费者权益法	xiaofeizhequanyifa
信息共享系统	xinxigongxiangxitong
纽约公约	niuyuegongyue
农业机械化促进法	nongyejixiehuacujinfa
中国轻工总会	zhongguoqinggongzonghui
农业综合开发办公室	nongyezonghekaifabangongshi
执行担保	zhixingdanbao
私有财产神圣不可侵犯	siyoucaichanshenshengbukeqinfan
一般授权	yibanshouquan
园冶	yuanye
电信安全	dianxinanquan
药品流通监督管理办法	yaopinliutongjianduguanlibanfa
住宅权	zhuzhaiquan
外轮代理公司	wailundailigongsi
趋势加强	qushijiaqiang
公务员录用规定	gongwuyuanluyongguiding
流动资产周转率	liudongzichanzhouzhuanlv
台院	taiyuan
药事管理学	yaoshiguanlixue
招股章程	zhaoguzhangcheng
广播权	guangboquan
相应权益	xiangyingquanyi
转让债权	zhuanrangzhaiquan
保健食品注册管理办法	baojianshipinzhuceguanlibanfa
父母权	fumuquan
公证员协会	gongzhengyuanxiehui
收回权	shouhuiquan
虚假广告罪	xujiaguanggaozui
民用建筑节能管理规定	minyongjianzhujienengguanliguiding
亚太贸易协定	yataimaoyixieding
应收未收利息	yingshouweishoulixi
提供虚假财会报告罪	tigongxujiacaikuaibaogaozui
土地登记办法	tudidengjibanfa
承兑行	chengduihang|chengduixing
结构扭曲	jiegouniuqu
司法协助条约	sifaxiezhutiaoyue
自行拆迁	zixingchaiqian
维持原判决	weichiyuanpanjue
犯罪客观方面	fanzuikeguanfangmian
出口退税制度	chukoutuishuizhidu
谢尔曼法	xieermanfa
造纸产业发展政策	zaozhichanyefazhanzhengce
法学课程	faxuekecheng
投放危险物质罪	toufangweixianwuzhizui
全国教育工会	quanguojiaoyugonghui
夫妻在婚姻关系存续期间	fuqizaihunyinguanxicunxuqijian
应当判处有期徒刑	yingdangpanchuyouqituxing
合营企业协议	heyingqiyexieyi
中国核工业总公司	zhongguohegongyezonggongsi
电子支付指引	dianzizhifuzhiyin
辞职权	cizhiquan
扣除物价因素	kouchuwujiayinsu
国家保密法	guojiabaomifa
中央与地方财政	zhongyangyudifangcaizheng
文件透露	wenjiantoulu
现货合约	xianhuoheyue
婚姻登记所	hunyindengjisuo
机动车维修管理规定	jidongcheweixiuguanliguiding
铁路运输安全保护条例	tieluyunshuanquanbaohutiaoli
烟草专卖法实施条例	yancaozhuanmaifashishitiaoli
广播电视管理条例	guangbodianshiguanlitiaoli
潜逃境外	qiantaojingwai
环境噪声污染防治法	huanjingzaoshengwuranfangzhifa
二审判决书	ershenpanjueshu
工资支付暂行规定	gongzizhifuzanxingguiding
三高农业	sangaonongye
中国兵器工业总公司	zhongguobingqigongyezonggongsi
股市泡沫论	gushipaomolun
专门人民检察院	zhuanmenrenminjianchayuan
药品广告审查发布标准	yaopinguanggaoshenchafabubiaozhun
网站侵权	wangzhanqinquan
清算公司	qingsuangongsi
信贷协定	xindaixieding
国家轻工业局	guojiaqinggongyeju
非赢利性机构	feiyinglixingjigou
国家国内贸易局	guojiaguoneimaoyiju
人民检察院组织法	renminjianchayuanzuzhifa
罪刑相适应原则	zuixingxiangshiyingyuanze
森林防火条例	senlinfanghuotiaoli
金融恐慌	jinrongkonghuang
国家边界	guojiabianjie
站笼	zhanlong
甲醛中毒	jiaquanzhongdu
专利许可协议	zhuanlixukexieyi
委员小组	weiyuanxiaozu
盗窃枪支	daoqieqiangzhi
全国人民代表大会和地方各级人民代表大会选举法	quanguorenmindaibiaodahuihedifanggejirenmindaibiaodahuixuanjufa
土地登记规则	tudidengjiguize
情事变更原则	qingshibiangengyuanze
附带民事诉讼被告	fudaiminshisusongbeigao
罢工权	bagongquan
社会集团购买力	shehuijituangoumaili
残疾人就业条例	canjirenjiuyetiaoli
知识产权海关保护条例	zhishichanquanhaiguanbaohutiaoli
聚众冲击国家机关罪	juzhongchongjiguojiajiguanzui
内幕交易者	neimujiaoyizhe
大事纪	dashiji
中共中央政法委员会	zhonggongzhongyangzhengfaweiyuanhui
企业注册局	qiyezhuceju
司法考试教材	sifakaoshijiaocai
差别存款准备金率制度	chabiecunkuanzhunbeijinlvzhidu
住房制度改革领导小组	zhufangzhidugaigelingdaoxiaozu
中间媒介	zhongjianmeijie
法治中国	fazhizhongguo
药品召回管理办法	yaopinzhaohuiguanlibanfa
房地产典当	fangdichandiandang
秦半两	qinbanliang
注册商标使用许可	zhuceshangbiaoshiyongxuke
违法发放贷款罪	weifafafangdaikuanzui
全国老龄委	quanguolaolingwei
企业年度检验办法	qiyeniandujianyanbanfa
专门法院	zhuanmenfayuan
律师服务收费管理办法	lvshifuwushoufeiguanlibanfa
法院地法	fayuandifa
税收管理权限	shuishouguanliquanxian
货款拖欠	huokuantuoqian
被申请执行人	beishenqingzhixingren
承兑票据	chengduipiaoju
技术进出口合同	jishujinchukouhetong
专利权转让合同	zhuanliquanzhuanranghetong
侵犯权利	qinfanquanli
国家建筑材料工业局	guojiajianzhucailiaogongyeju
房地产抵押权	fangdichandiyaquan
执行根据	zhixinggenju
执行终结	zhixingzhongjie
司户参军	sihucanjun
宅基地证	zhaijidizheng
全国经济普查条例	quanguojingjipuchatiaoli
复议前置	fuyiqianzhi
司法鉴定科学技术研究所	sifajiandingkexuejishuyanjiusuo
协议一方	xieyiyifang
索赔时效	suopeishixiao
药品差比价规则	yaopinchabijiaguize
国家公诉人	guojiagongsuren
电信服务规范	dianxinfuwuguifan
城镇廉租住房管理办法	chengzhenlianzuzhufangguanlibanfa
企业法人破产还债程序	qiyefarenpochanhuanzhaichengxu
高等学校学生行为准则	gaodengxuexiaoxueshengxingweizhunze
城市私有房屋管理条例	chengshisiyoufangwuguanlitiaoli
表外科目	biaowaikemu
地理标志产品保护规定	dilibiaozhichanpinbaohuguiding
科学技术普及法	kexuejishupujifa
社会工作者协会	shehuigongzuozhexiehui
掉期合约	diaoqiheyue
中国个体劳动者协会	zhongguogetilaodongzhexiehui
报废汽车回收管理办法	baofeiqichehuishouguanlibanfa
自行辩护	zixingbianhu
得伟君尚律师事务所	deweijunshanglvshishiwusuo
诈骗他人钱财	zhapiantarenqiancai
清末四大奇案	qingmosidaqian
重大环境污染事故罪	zhongdahuanjingwuranshiguzui
一物一权	yiwuyiquan
二级谋杀罪	erjimoushazui
印刷业管理条例	yinshuayeguanlitiaoli
魏玛宪法	weimaxianfa
台湾同胞投资保护法	taiwantongbaotouzibaohufa
商标使用许可协议	shangbiaoshiyongxukexieyi
国家煤炭工业局	guojiameitangongyeju
森林法实施条例	senlinfashishitiaoli
四固定	siguding
冶金工业局	yejingongyeju
注意障碍	zhuyizhangai
最高人民法院研究室	zuigaorenminfayuanyanjiushi
城市规划编制办法	chengshiguihuabianzhibanfa
权益回报率	quanyihuibaolv
非法占用农用地罪	feifazhanyongnongyongdizui
信贷合同	xindaihetong
海上交通安全法	haishangjiaotonganquanfa
统计法实施细则	tongjifashishixize
酌定不起诉	zhuodingbuqisu
中俄密约	zhongemiyue
执行停止	zhixingtingzhi
良好操作规范	lianghaocaozuoguifan
现货月份	xianhuoyuefen
专利权归属	zhuanliquanguishu
销售侵权复制品罪	xiaoshouqinquanfuzhipinzui
完全合并	wanquanhebing
小小偷	xiaoxiaotou
血站管理办法	xuezhanguanlibanfa
易制毒化学品管理条例	yizhiduhuaxuepinguanlitiaoli
非现场稽核	feixianchangjihe
未遂事故	weisuishigu
国债法	guozhaifa
三来一补企业	sanlaiyibuqiye
专利申请权转让合同	zhuanlishenqingquanzhuanranghetong
时效延长	shixiaoyanchang
互联网文化管理暂行规定	hulianwangwenhuaguanlizanxingguiding
中国知识产权研究会	zhongguozhishichanquanyanjiuhui
行文规则	xingwenguize
内部牵制制度	neibuqianzhizhidu
企业工会工作条例	qiyegonghuigongzuotiaoli
煤矿工会	meikuanggonghui
帮助犯罪分子逃避处罚罪	bangzhufanzuifenzitaobichufazui
指定部位	zhidingbuwei
认定公民无民事行为	rendinggongminwuminshixingwei
土地调查条例	tudidiaochatiaoli
进出口管理委员会	jinchukouguanliweiyuanhui
反应性精神病	fanyingxingjingshenbing
刑事抗诉	xingshikangsu
欧式期权	oushiqiquan
业主大会规程	yezhudahuiguicheng
商业银行金融创新指引	shangyeyinhangjinrongchuangxinzhiyin
媒氏	meishi
软预算约束	ruanyusuanyueshu
供电营业规则	gongdianyingyeguize
应该采纳	yinggaicaina
农业技术推广法	nongyejishutuiguangfa
共负盈亏	gongfuyingkui
治安保卫委员会	zhianbaoweiweiyuanhui
先行裁决	xianxingcaijue
政协科教文卫体委员会	zhengxiekejiaowenweitiweiyuanhui
户外广告登记管理规定	huwaiguanggaodengjiguanliguiding
断事官	duanshiguan
食品召回管理规定	shipinzhaohuiguanliguiding
雇佣合约	guyongheyue
制定和实施货币政策	zhidingheshishihuobizhengce
国际发展援助	guojifazhanyuanzhu
专利权质押合同	zhuanliquanzhiyahetong
闲置土地处理办法	xianzhitudichulibanfa
著作权许可使用合同	zhuzuoquanxukeshiyonghetong
人禽流感诊疗方案	renqinliuganzhenliaofangan
能源效率标识管理办法	nengyuanxiaolvbiaozhiguanlibanfa
土地登记制度	tudidengjizhidu
侵犯通信自由罪	qinfantongxinziyouzui
互免签证协议	humianqianzhengxieyi
母婴保健法实施办法	muyingbaojianfashishibanfa
企业管理委员会	qiyeguanliweiyuanhui
放射性污染防治法	fangshexingwuranfangzhifa
袭击罪	xijizui
权益披露	quanyipilu
日尔曼法	riermanfa
国家进出口管理委员会	guojiajinchukouguanliweiyuanhui
医疗器械注册管理办法	yiliaoqixiezhuceguanlibanfa
最终控股公司	zuizhongkonggugongsi
强制许可制度	qiangzhixukezhidu
劳动教养试行办法	laodongjiaoyangshixingbanfa
关键事件法	guanjianshijianfa
全国污染源普查条例	quanguowuranyuanpuchatiaoli
经济贸易办公室	jingjimaoyibangongshi
追加当事人	zhuijiadangshiren
侵犯知识产权罪	qinfanzhishichanquanzui
中毒性精神病	zhongduxingjingshenbing
治安行政处罚	zhianxingzhengchufa
内地段	neididuan
反要约	fanyaoyue
全国农业普查条例	quanguonongyepuchatiaoli
国家无线电管理委员会	guojiawuxiandianguanliweiyuanhui
合理性要求	helixingyaoqiu
展会知识产权保护办法	zhanhuizhishichanquanbaohubanfa
种子管理条例	zhongziguanlitiaoli
除权判决	chuquanpanjue
国务院外事办	guowuyuanwaishiban
城市道路管理条例	chengshidaoluguanlitiaoli
道路交通标志和标线	daolujiaotongbiaozhihebiaoxian
民用爆炸物品管理条例	minyongbaozhawupinguanlitiaoli
国家能源投资公司	guojianengyuantouzigongsi
国土资源听证规定	guotuziyuantingzhengguiding
船舶登记证书	chuanbodengjizhengshu
企业集团战略	qiyejituanzhanlue
国家科学技术奖励条例	guojiakexuejishujianglitiaoli
宅地法	zhaidifa
经济合同仲裁委员会	jingjihetongzhongcaiweiyuanhui
录囚	luqiu
为亲友非法牟利罪	weiqinyoufeifamoulizui
转质权	zhuanzhiquan
外资企业法实施细则	waiziqiyefashishixize
保险营销员管理规定	baoxianyingxiaoyuanguanliguiding
国家建设用地	guojiajiansheyongdi
失去时效	shiqushixiao
石油和化学工业局	shiyouhehuaxuegongyeju
脱媒现象	tuomeixianxiang
公司歇业	gongsixieye
建筑安全玻璃管理规定	jianzhuanquanboliguanliguiding
保险保障基金管理办法	baoxianbaozhangjijinguanlibanfa
国家出版局	guojiachubanju
国务院经济贸易办公室	guowuyuanjingjimaoyibangongshi
在合同履行中	zaihetonglvxingzhong
审判长宣布开庭	shenpanzhangxuanbukaiting
承购包销	chenggoubaoxiao
国家国防动员委员会	guojiaguofangdongyuanweiyuanhui
血吸虫病防治条例	xuexichongbingfangzhitiaoli
强制性产品认证管理规定	qiangzhixingchanpinrenzhengguanliguiding
传播性病罪	chuanboxingbingzui
法院刑事判决书	fayuanxingshipanjueshu
要约失效	yaoyueshixiao
纺织品出口管理办法	fangzhipinchukouguanlibanfa
挪用特定款物罪	nuoyongtedingkuanwuzui
对单位行贿罪	duidanweixinghuizui
地方志工作条例	difangzhigongzuotiaoli
主要债务人	zhuyaozhaiwuren
大日本帝国宪法	daribendiguoxianfa
国家计量局	guojiajiliangju
维斯比规则	weisibiguize
强制性公积金	qiangzhixinggongjijin
党政分工	dangzhengfengong
合伙企业登记管理办法	hehuoqiyedengjiguanlibanfa
摩奴法典	monufadian
国家石油和化学工业局	guojiashiyouhehuaxuegongyeju
土地注册处	tudizhucechu
附认股权证公司债	furenguquanzhenggongsizhai
硬贷款	yingdaikuan
国家纺织工业局	guojiafangzhigongyeju
机械工业委员会	jixiegongyeweiyuanhui
印花税法	yinhuashuifa
维持判决	weichipanjue
卫生行政执法文书规范	weishengxingzhengzhifawenshuguifan
密码管理委员会办公室	mimaguanliweiyuanhuibangongshi
商业贿赂罪	shangyehuiluzui
肖像权纠纷	xiaoxiangquanjiufen
高新技术成果出资	gaoxinjishuchengguochuzi
保险代理机构管理规定	baoxiandailijigouguanliguiding
合谋诈骗	hemouzhapian
国有企业清产核资办法	guoyouqiyeqingchanhezibanfa
乡村医生从业管理条例	xiangcunyishengcongyeguanlitiaoli
辩护阶段	bianhujieduan
一般累犯	yibanleifan
出具证明文件重大失实罪	chujuzhengmingwenjianzhongdashishizui
农工商联合企业	nonggongshanglianheqiye
违法转包	weifazhuanbao
可执行财产	kezhixingcaichan
国家人事局	guojiarenshiju
婚姻登记档案管理办法	hunyindengjidanganguanlibanfa
证券市场禁入规定	zhengquanshichangjinruguiding
遗产承办处	yichanchengbanchu
著作权转让合同	zhuzuoquanzhuanranghetong
通用航空飞行管制条例	tongyonghangkongfeixingguanzhitiaoli
税种登记	shuizhongdengji
铁路检察院	tielujianchayuan
涉外民事诉讼程序	shewaiminshisusongchengxu
电子银行业务管理办法	dianziyinhangyewuguanlibanfa
刑事审判监督	xingshishenpanjiandu
设定信托	shedingxintuo
公务员考核规定	gongwuyuankaoheguiding
国家冶金工业局	guojiayejingongyeju
按揭抵押债券	anjiediyazhaiquan
国家进出口银行	guojiajinchukouyinhang
统配煤矿总公司	tongpeimeikuangzonggongsi
经济建设支出	jingjijianshezhichu
汽垫船	qidianchuan
专利审查指南	zhuanlishenchazhinan
一致裁决	yizhicaijue
代位执行	daiweizhixing
单位产权房	danweichanquanfang
中国社会工作者协会	zhongguoshehuigongzuozhexiehui
中国统配煤矿总公司	zhongguotongpeimeikuangzonggongsi
提供虚假证明文件罪	tigongxujiazhengmingwenjianzui
免于刑事处分	mianyuxingshichufen
失职致使在押人员脱逃罪	shizhizhishizaiyarenyuantuotaozui
二审法院经审理认为	ershenfayuanjingshenlirenwei
窑灰	yaohui
军委纪律检查委员会	junweijilvjianchaweiyuanhui
本地法院	bendifayuan
预约保险合同	yuyuebaoxianhetong
非法募捐	feifamujuan
战役法	zhanyifa
经济法论丛	jingjifaluncong
强制性规则	qiangzhixingguize
国家有色金属工业局	guojiayousejinshugongyeju
巡视官	xunshiguan
侵权行为之债	qinquanxingweizhizhai
商品条码管理办法	shangpintiaomaguanlibanfa
不履行合约	bulvxingheyue
飞行基本规则	feixingjibenguize
防雷减灾管理办法	fangleijianzaiguanlibanfa
轻微缺陷	qingweiquexian
摩西律法	moxilvfa
大额可转让定期存单	daekezhuanrangdingqicundan
经济指标体系	jingjizhibiaotixi
集成电路布图设计保护条例	jichengdianlubutushejibaohutiaoli
精神药物公约	jingshenyaowugongyue
参加承兑	canjiachengdui
独占实施权	duzhanshishiquan
煽动颠覆国家政权罪	shandongdianfuguojiazhengquanzui
冒充军人招摇撞骗罪	maochongjunrenzhaoyaozhuangpianzui
权利用尽	quanliyongjin
执行程序文件	zhixingchengxuwenjian
非法经营同类营业罪	feifajingyingtongleiyingyezui
达马托法	damatuofa
国家基本建设委员会	guojiajibenjiansheweiyuanhui
儿童玩具召回管理规定	ertongwanjuzhaohuiguanliguiding
公司企业人员受贿罪	gongsiqiyerenyuanshouhuizui
机动车登记办法	jidongchedengjibanfa
加强证据	jiaqiangzhengju
国家司法考试应试规则	guojiasifakaoshiyingshiguize
死刑复核裁定	sixingfuhecaiding
欠税公告办法	qianshuigonggaobanfa
非法种植毒品原植物罪	feifazhongzhidupinyuanzhiwuzui
英国最高法院	yingguozuigaofayuan
农家店建设与改造规范	nongjiadianjiansheyugaizaoguifan
报社记者站管理办法	baoshejizhezhanguanlibanfa
三重标准	sanchongbiaozhun
生产销售伪劣产品罪	shengchanxiaoshouweiliechanpinzui
公共文化体育设施条例	gonggongwenhuatiyusheshitiaoli
专门法庭	zhuanmenfating
国务院信访条例	guowuyuanxinfangtiaoli
铁路运营安全事故罪	tieluyunyinganquanshiguzui
主任裁判官	zhurencaipanguan
影子定价法	yingzidingjiafa
新闻记者证管理办法	xinwenjizhezhengguanlibanfa
中华人民共和国专利局	zhonghuarenmingongheguozhuanliju
登闻鼓院	dengwenguyuan
普遍优惠制	pubianyouhuizhi
成本加酬金合同	chengbenjiachoujinhetong
一律予以没收	yilvyuyimoshou
中募委	zhongmuwei
国债一级自营商	guozhaiyijiziyingshang
世界贸易组织协议	shijiemaoyizuzhixieyi
执行承担	zhixingchengdan
一审终结	yishenzhongjie
陆新华	luxinhua
专利代理人考核委员会	zhuanlidailirenkaoheweiyuanhui
谢尔曼反托拉斯法	xieermanfantuolasifa
宣判笔录	xuanpanbilu
危害税收征管罪	weihaishuishouzhengguanzui
传染病防治法实施办法	chuanranbingfangzhifashishibanfa
海事报告	haishibaogao
判决定罪准确	panjuedingzuizhunque
企业登记程序规定	qiyedengjichengxuguiding
专利保护期限	zhuanlibaohuqixian
全国博士后管理委员会	quanguoboshihouguanliweiyuanhui
投放虚假危险物质罪	toufangxujiaweixianwuzhizui
药品临床试验管理规范	yaopinlinchuangshiyanguanliguifan
放射诊疗管理规定	fangshezhenliaoguanliguiding
射幸合同	shexinghetong
营业税条例	yingyeshuitiaoli
国家农业委员会	guojianongyeweiyuanhui
巴黎公约成员国	baligongyuechengyuanguo
特别法庭庭长	tebiefatingtingzhang
财产保全申请书	caichanbaoquanshenqingshu
同业拆借市场利率	tongyechaijieshichanglilv
以刑去刑	yixingquxing
交叉互换	jiaochahuhuan
注册建筑师条例	zhucejianzhushitiaoli
直接言词原则	zhijieyanciyuanze
文化事业费	wenhuashiyefei
一裁终局制度	yicaizhongjuzhidu
军队参加抢险救灾条例	junduicanjiaqiangxianjiuzaitiaoli
有形资产净值	youxingzichanjingzhi
金融企业财务规则	jinrongqiyecaiwuguize
独立核算工业企业	dulihesuangongyeqiye
家庭寄养管理暂行办法	jiatingjiyangguanlizanxingbanfa
锅炉压力容器检验所	guoluyalirongqijianyansuo
非法占用耕地罪	feifazhanyonggengdizui
融资融券合同必备条款	rongzirongquanhetongbibeitiaokuan
分保险业务	fenbaoxianyewu
死刑复核制度	sixingfuhezhidu
训政时期约法	xunzhengshiqiyuefa
社会福利法	shehuifulifa
中共中央书记处研究室	zhonggongzhongyangshujichuyanjiushi
高速公路交通管理办法	gaosugonglujiaotongguanlibanfa
民事责任承担方式	minshizerenchengdanfangshi
印刷品广告管理办法	yinshuapinguanggaoguanlibanfa
后法优于前法	houfayouyuqianfa
强镇扩权	qiangzhenkuoquan
可转债回售	kezhuanzhaihuishou
泡沫效应	paomoxiaoying
政务院财经委员会	zhengwuyuancaijingweiyuanhui
残疾人教育条例	canjirenjiaoyutiaoli
中国公证员协会	zhongguogongzhengyuanxiehui
反虐待动物法	fannuedaidongwufa
监督管理权限	jianduguanliquanxian
中国专利信息中心	zhongguozhuanlixinxizhongxin
吴丹红	wudanhong
注册建造师管理规定	zhucejianzaoshiguanliguiding
职业银行家	zhiyeyinhangjia
要约文件	yaoyuewenjian
工业产权出资	gongyechanquanchuzi
非法进行节育手术罪	feifajinxingjieyushoushuzui
债务合约	zhaiwuheyue
限制民事行为能力案件	xianzhiminshixingweinenglianjian
重复处理行为	chongfuchulixingwei
私营工商业者	siyinggongshangyezhe
中国地名委员会	zhongguodimingweiyuanhui
律母	lvmu
公证机构执业管理办法	gongzhengjigouzhiyeguanlibanfa
国家地震应急预案	guojiadizhenyingjiyuan
法书要录	fashuyaolu
必要共同诉讼人	biyaogongtongsusongren
洪范九畴	hongfanjiuchou
烟叶税暂行条例	yanyeshuizanxingtiaoli
电子银行安全评估指引	dianziyinhanganquanpingguzhiyin
一物一权原则	yiwuyiquanyuanze
全面指定交易制度	quanmianzhidingjiaoyizhidu
专利代理委托书	zhuanlidailiweituoshu
民事管辖权	minshiguanxiaquan
公安机关信访工作规定	gonganjiguanxinfanggongzuoguiding
非法组织卖血罪	feifazuzhimaixuezui
中共中央调查部	zhonggongzhongyangdiaochabu
股东总回报	gudongzonghuibao
二审裁定书	ershencaidingshu
新资源食品管理办法	xinziyuanshipinguanlibanfa
机动车驾驶员考试办法	jidongchejiashiyuankaoshibanfa
中保财产保险公司	zhongbaocaichanbaoxiangongsi
全民所有企业	quanminsuoyouqiye
威斯敏斯特法案	weisiminsitefaan
稀缺经济	xiquejingji
一事不再罚原则	yishibuzaifayuanze
用户故事	yonghugushi
查阅法条	chayuefatiao
增收节支措施	zengshoujiezhicuoshi
教育设施重大安全事故罪	jiaoyusheshizhongdaanquanshiguzui
主要办事处	zhuyaobanshichu
长江河道采砂管理条例	changjianghedaocaishaguanlitiaoli
英国大宪章	yingguodaxianzhang
手工业管理局	shougongyeguanliju
打击走私领导小组	dajizousilingdaoxiaozu
溢价股	yijiagu
禁止规范	jinzhiguifan
执行变更	zhixingbiangeng
违法向关系人发放贷款罪	weifaxiangguanxirenfafangdaikuanzui
适用除外制度	shiyongchuwaizhidu
民事强制执行法	minshiqiangzhizhixingfa
道路交通事故受伤人员伤残评定	daolujiaotongshigushoushangrenyuanshangcanpingding
医院感染管理办法	yiyuanganranguanlibanfa
要式证券	yaoshizhengquan
参加承兑人	canjiachengduiren
中华人民共和国价格管理条例	zhonghuarenmingongheguojiageguanlitiaoli
招标投标买卖	zhaobiaotoubiaomaimai
多边国际公约	duobianguojigongyue
利息回收率	lixihuishoulv
耕地占补平衡考核办法	gengdizhanbupinghengkaohebanfa
广播电视设施保护条例	guangbodianshisheshibaohutiaoli
妇女儿童权益保护法	funvertongquanyibaohufa
股权执行	guquanzhixing
化性起伪	huaxingqiwei
每日结算制度	meirijiesuanzhidu
包庇毒品犯罪分子罪	baobidupinfanzuifenzizui
安全生产工作规定	anquanshengchangongzuoguiding
商标印制管理办法	shangbiaoyinzhiguanlibanfa
债权质权	zhaiquanzhiquan
逃避追缴欠税罪	taobizhuijiaoqianshuizui
地方立法研究	difanglifayanjiu
保险期间和保险责任开始时间	baoxianqijianhebaoxianzerenkaishishijian
执行笔录	zhixingbilu
系统性金融危机	xitongxingjinrongweiji
伪造国家货币	weizaoguojiahuobi
中国刑事辩护网	zhongguoxingshibianhuwang
城市危险房屋管理规定	chengshiweixianfangwuguanliguiding
有限责任公司规范意见	youxianzerengongsiguifanyijian
桶抓	tongzhua
扰乱法庭秩序罪	raoluanfatingzhixuzui
无担保债权人	wudanbaozhaiquanren
基层人民法院院长	jicengrenminfayuanyuanzhang
设权证券	shequanzhengquan
载驳船	zaibochuan
品质机动幅度	pinzhijidongfudu
中国盲人协会	zhongguomangrenxiehui
农药生产管理办法	nongyaoshengchanguanlibanfa
强令违章冒险作业罪	qianglingweizhangmaoxianzuoyezui
安全评价机构管理规定	anquanpingjiajigouguanliguiding
煤炭经营监管办法	meitanjingyingjianguanbanfa
要求轻判	yaoqiuqingpan
单方民事法律行为	danfangminshifalvxingwei
审查公诉	shenchagongsu
扰乱办公秩序	raoluanbangongzhixu
公司住址	gongsizhuzhi
再保险业务管理规定	zaibaoxianyewuguanliguiding
特殊目的信托	teshumudixintuo
中介服务收费管理办法	zhongjiefuwushoufeiguanlibanfa
发明专利申请公开说明书	famingzhuanlishenqinggongkaishuomingshu
医诉	yisu
法律程序文件	falvchengxuwenjian
抵押担保债券	diyadanbaozhaiquan
止赎权	zhishuquan
电子出版物管理规定	dianzichubanwuguanliguiding
律师提前介入	lvshitiqianjieru
工商银行办公室	gongshangyinhangbangongshi
公证员执业管理办法	gongzhengyuanzhiyeguanlibanfa
中国外轮代理公司	zhongguowailundailigongsi
授权规范	shouquanguifan
非法买卖制毒物品罪	feifamaimaizhiduwupinzui
土地发展公司	tudifazhangongsi
过失泄露国家秘密罪	guoshixielouguojiamimizui
公路建设市场管理办法	gonglujiansheshichangguanlibanfa
行政诉讼参加人	xingzhengsusongcanjiaren
空舱费	kongcangfei
非封闭阳台	feifengbiyangtai
违法发放林木采伐许可证罪	weifafafanglinmucaifaxukezhengzui
战时违抗命令罪	zhanshiweikangminglingzui
土地承包经营权纠纷	tudichengbaojingyingquanjiufen
亚太空间合作组织公约	yataikongjianhezuozuzhigongyue
普及法律常识办公室	pujifalvchangshibangongshi
走私制毒物品罪	zousizhiduwupinzui
经济合作合同	jingjihezuohetong
香港大律师公会	xianggangdalvshigonghui
中国重要报纸全文数据库	zhongguozhongyaobaozhiquanwenshujuku
冷静时间	lengjingshijian
纳税影响法	nashuiyingxiangfa
中央储备糖管理办法	zhongyangchubeitangguanlibanfa
职业特权	zhiyetequan
个人住房加按揭贷款	gerenzhufangjiaanjiedaikuan
公路建设监督管理办法	gonglujianshejianduguanlibanfa
非法出售发票罪	feifachushoufapiaozui
中直机关事务管理局	zhongzhijiguanshiwuguanliju
力拓案	lituoan
专利审查协作中心	zhuanlishenchaxiezuozhongxin
欧洲审计院	ouzhoushenjiyuan
麻醉品单一公约	mazuipindanyigongyue
农业行政处罚程序规定	nongyexingzhengchufachengxuguiding
人民解放军军事法院	renminjiefangjunjunshifayuan
雇用童工从事危重劳动罪	guyongtonggongcongshiweizhonglaodongzui
主审裁判官	zhushencaipanguan
强迫他人吸毒罪	qiangpotarenxiduzui
保险经营规则	baoxianjingyingguize
城市建设总局	chengshijianshezongju
许诺人	xunuoren
老旧运输船舶管理规定	laojiuyunshuchuanboguanliguiding
检察官手记	jianchaguanshouji
钦定西藏章程	qindingxizangzhangcheng
个人住房转按揭贷款	gerenzhufangzhuananjiedaikuan
第二次答辩	diercidabian
宪法修改案	xianfaxiugaian
城市供水水质管理规定	chengshigongshuishuizhiguanliguiding
章服制度	zhangfuzhidu
全国打击走私领导小组	quanguodajizousilingdaoxiaozu
暴力危及飞行安全罪	baoliweijifeixinganquanzui
信托公司治理指引	xintuogongsizhilizhiyin
