阿贝聚光镜	abeijuguangjing
直接加热炉	zhijiejiarelu
直接减法	zhijiejianfa
直接键合结构	zhijiejianhejiegou
直接浇口	zhijiejiaokou
直接浇铸	zhijiejiaozhu
直接浇注	zhijiejiaozhu
直接接触净化	zhijiejiechujinghua
直接结合	zhijiejiehe
直接结合砖	zhijiejiehezhuan
直接浸出	zhijiejinchu
直接金属	zhijiejinshu
直结晶器	zhijiejingqi
直接经营设施	zhijiejingyingsheshi
直接控制连接	zhijiekongzhilianjie
直接冷却	zhijielengque
直接冷硬铸造	zhijielengyingzhuzao
直接炼钢	zhijieliangang
直接炼钢法	zhijieliangangfa
直接连接	zhijielianjie
直接炼铁	zhijieliantie
直接炼铁法	zhijieliantiefa
直接硫酸铵法	zhijieliusuananfa
直接卤化	zhijieluhua
直接氯化	zhijielvhua
直接氯化设备	zhijielvhuashebei
直接码	zhijiema
直接目测法	zhijiemucefa
直接耦合	zhijieouhe
直接耦合圈	zhijieouhequan
直接排放	zhijiepaifang
直接喷燃器	zhijiepenranqi
直接起动	zhijieqidong
直接汽化	zhijieqihua
直接气体还原	zhijieqitihuanyuan
直接氢氟化法	zhijieqingfuhuafa
直接燃烧	zhijieranshao
直接热源	zhijiereyuan
直接扫描	zhijiesaomiao
直接晒印	zhijieshaiyin
直接烧煤焙烧	zhijieshaomeibeishao
直接生产费用	zhijieshengchanfeiyong
直接式打料	zhijieshidaliao
直接式仪表	zhijieshiyibiao
直接示值器	zhijieshizhiqi
直接受热面	zhijieshouremian
直接酸浸	zhijiesuanjin
直接通地	zhijietongdi
直接通电	zhijietongdian
直接显示器	zhijiexianshiqi
直接选址	zhijiexuanzhi
直接询问	zhijiexunwen
直接氧化	zhijieyanghua
直接氧化浸出	zhijieyanghuajinchu
直接引导方位	zhijieyindaofangwei
直接印相	zhijieyinxiang
直接油泵传动	zhijieyoubengchuandong
直接再拉抻	zhijiezailachen
直接轧制	zhijiezhazhi
直接轧制工艺	zhijiezhazhigongyi
直接蒸馏	zhijiezhengliu
直接蒸馏法	zhijiezhengliufa
直接蒸汽	zhijiezhengqi
直接制氨法	zhijiezhianfa
直接指令	zhijiezhiling
直接助熔	zhijiezhurong
直接转变	zhijiezhuanbian
直接装料	zhijiezhuangliao
直进坑线	zhijinkengxian
枝晶	zhijing
枝晶臂	zhijingbi
枝晶带	zhijingdai
枝晶锆	zhijinggao
枝晶间腐蚀	zhijingjianfushi
枝晶间结构	zhijingjianjiegou
枝晶间浸蚀	zhijingjianjinshi
枝晶间孔隙	zhijingjiankongxi
枝晶间偏析	zhijingjianpianxi
直井炉	zhijinglu
直径面	zhijingmian
枝晶偏析	zhijingpianxi
枝晶区	zhijingqu
直径缩减率	zhijingsuojianlv
枝晶钽	zhijingtan
直径增量	zhijingzengliang
枝晶长大	zhijingzhangda
枝晶轴	zhijingzhou
枝晶组织	zhijingzuzhi
支距测法	zhijucefa
枝聚物	zhijuwu
直孔型	zhikongxing
止块夹头	zhikuaijiatou
致冷混合物	zhilenghunhewu
致冷级	zhilengji
致冷设备	zhilengshebei
致冷盐水	zhilengyanshui
致冷装置	zhilengzhuangzhi
制粒	zhili
制粒方法	zhilifangfa
直立杆	zhiligan
制粒过程	zhiliguocheng
制粒混合料	zhilihunheliao
制粒机	zhiliji
智利磨机	zhilimoji
制粒盘	zhilipan
制粒设备	zhilishebei
智利式辊碾机	zhilishigunnianji
智利式磨碎机	zhilishimosuiji
直立式转炉	zhilishizhuanlu
直立位置	zhiliweizhi
制粒系统	zhilixitong
制粒效果	zhilixiaoguo
智利硝石	zhilixiaoshi
制粒旋转盘	zhilixuanzhuanpan
制粒原料	zhiliyuanliao
旨粒组织	zhilizuzhi
支链伯胺	zhilianboan
直链醇	zhilianchun
支链酒精	zhilianjiujing
支链乙醇	zhilianyichun
支链仲胺	zhilianzhongan
质量	zhiliang
质量百分比	zhiliangbaifenbi
质量波动	zhiliangbodong
质量磁化率	zhiliangcihualv
质量巅	zhiliangdian
质量规范	zhiliangguifan
质量衡算	zhilianghengsuan
质量技术条件	zhiliangjishutiaojian
质量鉴定	zhiliangjianding
质量交换系数	zhiliangjiaohuanxishu
质量亏损	zhiliangkuisun
质量流	zhiliangliu
质量流率	zhiliangliulv
质量摩尔数	zhiliangmoershu
质量守恒	zhiliangshouheng
质量水准	zhiliangshuizhun
质量通量	zhiliangtongliang
质量系数	zhiliangxishu
质量验收标准	zhiliangyanshoubiaozhun
质量指数	zhiliangzhishu
质量中心	zhiliangzhongxin
质量中心轴线	zhiliangzhongxinzhouxian
质量转移	zhiliangzhuanyi
质量作用常数	zhiliangzuoyongchangshu
质量作用定律	zhiliangzuoyongdinglv
质量作用效应	zhiliangzuoyongxiaoying
直列式冷却器	zhilieshilengqueqi
直裂纹	zhiliewen
止裂转向曲线	zhiliezhuanxiangquxian
指令安排形式	zhilinganpaixingshi
指令磁带	zhilingcidai
指令存储器	zhilingcunchuqi
指令单元	zhilingdanyuan
指令读出	zhilingduchu
指零法	zhilingfa
指令格式	zhilinggeshi
指令机	zhilingji
指令计数器	zhilingjishuqi
指令结构	zhilingjiegou
指令卡片组	zhilingkapianzu
指令控制程序	zhilingkongzhichengxu
指令列	zhilinglie
指令脉冲	zhilingmaichong
指令区	zhilingqu
指令修改	zhilingxiugai
指令转移点	zhilingzhuanyidian
指令字符	zhilingzifu
指令组件	zhilingzujian
支流	zhiliu
滞流	zhiliu
直馏	zhiliu
直流	zhiliu
直流闭塞	zhiliubise
直流部分	zhiliubufen
支溜槽	zhiliucao
直流测定	zhiliuceding
直流测量	zhiliuceliang
直馏产物	zhiliuchanwu
直流传导法	zhiliuchuandaofa
直流传动	zhiliuchuandong
直流磁导率	zhiliucidaolv
直流磁化	zhiliucihua
直馏地沥青	zhiliudiliqing
直流电焊	zhiliudianhan
直流电焊机	zhiliudianhanji
直流电弧	zhiliudianhu
直流电弧炉	zhiliudianhulu
直流电极	zhiliudianji
直流电机车	zhiliudianjiche
直流电解清洗	zhiliudianjieqingxi
直流电力牵引	zhiliudianliqianyin
直流电能	zhiliudianneng
直流电阻	zhiliudianzu
直流断电	zhiliuduandian
滞流阀	zhiliufa
支流反应	zhiliufanying
直流分量	zhiliufenliang
直流伏特计	zhiliufuteji
直流辅助传动	zhiliufuzhuchuandong
直流干线	zhiliuganxian
直流钢包炉	zhiliugangbaolu
直流回路	zhiliuhuilu
直流开关设备	zhiliukaiguanshebei
支流苛化	zhiliukehua
直流控制电压	zhiliukongzhidianya
直流口	zhiliukou
直馏沥青	zhiliuliqing
直流联轴器	zhiliulianzhouqi
直流排放流程	zhiliupaifangliucheng
直流排放系统	zhiliupaifangxitong
滞流区	zhiliuqu
直流绕组	zhiliuraozu
直流输电	zhiliushudian
直流蓄热	zhiliuxure
直流蓄热法	zhiliuxurefa
直流抑制器	zhiliuyizhiqi
止轮块	zhilunkuai
指轮式搂草机	zhilunshiloucaoji
制轮凸轮	zhiluntulun
制轮楔	zhilunxie
止螺栓	zhiluoshuan
制螺栓用钢丝	zhiluoshuanyonggangsi
制螺丝用棒材	zhiluosiyongbangcai
制氯电解槽	zhilvdianjiecao
纸滤器	zhilvqi
制铆钉用棒材	zhimaodingyongbangcai
制铆钉用棒坯	zhimaodingyongbangpi
制铆钉用线材	zhimaodingyongxiancai
致密白云石	zhimibaiyunshi
致密焙烧	zhimibeishao
致密表面	zhimibiaomian
致密层	zhimiceng
致密长石	zhimichangshi
致密淀积物	zhimidianjiwu
致密镀层	zhimiduceng
致密粉末	zhimifenmo
致密硅岩	zhimiguiyan
致密焊缝	zhimihanfeng
致密化动力学	zhimihuadonglixue
致密混凝土	zhimihunningtu
致密结构	zhimijiegou
致密结块	zhimijiekuai
致密接头	zhimijietou
致密介质	zhimijiezhi
致密金属	zhimijinshu
致密金属小块	zhimijinshuxiaokuai
致密晶粒	zhimijingli
致密晶粒组织	zhimijinglizuzhi
致密零件	zhimilingjian
致密炉顶砖	zhimiludingzhuan
致密氯化物	zhimilvhuawu
致密滤纸	zhimilvzhi
致密膜	zhimimo
致密耐火砖	zhiminaihuozhuan
致密青铜	zhimiqingtong
致密石墨棒	zhimishimobang
致密石墨铸铁	zhimishimozhutie
致密涂层	zhimituceng
致密物质	zhimiwuzhi
致密系数	zhimixishu
致密性	zhimixing
致密制品	zhimizhipin
致密状材料	zhimizhuangcailiao
致密组织	zhimizuzhi
制皿机	zhiminji
制模车间	zhimochejian
制模工	zhimogong
制模工段	zhimogongduan
制模工缩尺	zhimogongsuochi
制模工作	zhimogongzuo
致模糊	zhimohu
制模金属	zhimojinshu
制模树脂	zhimoshuzhi
制模型车床	zhimoxingchechuang
制模型用铣床	zhimoxingyongxichuang
制模用蜡	zhimoyongla
智能材料	zhinengcailiao
质能当量	zhinengdangliang
直喷式烧嘴	zhipenshishaozui
织皮机	zhipiji
致偏棱镜	zhipianlengjing
致偏矢量	zhipianshiliang
致偏装置	zhipianzhuangzhi
制品	zhipin
制品拔出装置	zhipinbachuzhuangzhi
制品尺寸	zhipinchicun
制瓶压力机	zhipingyaliji
质谱测定法	zhipucedingfa
质谱分光计	zhipufenguangji
质谱分析	zhipufenxi
质谱分析法	zhipufenxifa
质谱分析术	zhipufenxishu
质谱检漏仪	zhipujianlouyi
质谱摄影仪	zhipusheyingyi
质谱数据	zhipushuju
质谱学	zhipuxue
质谱仪测量	zhipuyiceliang
质谱仪检漏器	zhipuyijianlouqi
质谱最大值	zhipuzuidazhi
止汽化	zhiqihua
脂铅钍铀矿	zhiqiantuyoukuang
脂铅铀矿	zhiqianyoukuang
支圈	zhiquan
直热式极	zhireshiji
直热窑	zhireyao
制日用品铜板	zhiriyongpintongban
直熔锭	zhirongding
直熔锭法	zhirongdingfa
直熔锭块	zhirongdingkuai
直熔锭清理	zhirongdingqingli
直熔锭修整	zhirongdingxiuzheng
直熔金属锭	zhirongjinshuding
直熔矿石	zhirongkuangshi
脂溶性染料	zhirongxingranliao
直熔铀锭	zhirongyouding
植入合金	zhiruhejin
滞塞	zhise
滞塞进料	zhisejinliao
纸色谱法	zhisepufa
滞塞速度	zhisesudu
纸上色层	zhishangseceng
直射脉冲	zhishemaichong
直射式喷嘴	zhisheshipenzui
直射束	zhisheshu
直射影像	zhisheyingxiang
制绳车间	zhishengchejian
制生球	zhishengqiu
直升烟道	zhishengyandao
蛭石	zhishi
指示表板	zhishibiaoban
指示表盘	zhishibiaopan
指示传感器	zhishichuanganqi
指示灯	zhishideng
指示灯光	zhishidengguang
指示电极	zhishidianji
指示度盘	zhishidupan
指示杆	zhishigan
指示功	zhishigong
指示回路	zhishihuilu
指示计	zhishiji
指示继电器	zhishijidianqi
指示剂法	zhishijifa
指示剂离子	zhishijilizi
指示剂纸	zhishijizhi
指示马力	zhishimali
指示器	zhishiqi
指示器按钮	zhishiqianniu
指示器法	zhishiqifa
指示器刻度	zhishiqikedu
指示器盘	zhishiqipan
指示器线圈	zhishiqixianquan
指示设备	zhishishebei
指示式示波器	zhishishishiboqi
指示误差	zhishiwucha
指示线	zhishixian
指示效率	zhishixiaolv
指示压力	zhishiyali
指示仪表	zhishiyibiao
指示仪表法	zhishiyibiaofa
指示荧光屏	zhishiyingguangping
指示映象管	zhishiyingxiangguan
指示元件	zhishiyuanjian
指示装置	zhishizhuangzhi
指数测定	zhishuceding
指数定律	zhishudinglv
指数方程	zhishufangcheng
栉梳滚筒	zhishuguntong
指数寄存器	zhishujicunqi
酯树胶	zhishujiao
指数律失真	zhishulvshizhen
指数前因子	zhishuqianyinzi
指数曲线	zhishuquxian
指数式时基	zhishushishiji
指数速率	zhishusulv
制熟铁坯	zhishutiepi
指数吸收定律	zhishuxishoudinglv
指数形状	zhishuxingzhuang
指数因子	zhishuyinzi
指数值	zhishuzhi
支枢轴承	zhishuzhoucheng
支枢转向	zhishuzhuanxiang
制刷用钢丝	zhishuayonggangsi
制水泥用矿渣	zhishuiniyongkuangzha
制水渣贮槽	zhishuizhazhucao
制酸塔	zhisuanta
制榫机	zhisunji
止碳	zhitan
止碳硅铬铁	zhitanguigetie
滞弹性	zhitanxing
滞弹性变形	zhitanxingbianxing
滞弹性材料	zhitanxingcailiao
滞弹性弛豫	zhitanxingchiyu
滞弹性能	zhitanxingneng
滞弹性试验	zhitanxingshiyan
滞弹性现象	zhitanxingxianxiang
滞弹性效应	zhitanxingxiaoying
滞弹性性能	zhitanxingxingneng
指套试验	zhitaoshiyan
制条机	zhitiaoji
制铁粉法	zhitiefenfa
制铁坯	zhitiepi
直铁心	zhitiexin
直通电流	zhitongdianliu
直通阀	zhitongfa
直通馈电线圈	zhitongkuidianxianquan
直筒溜槽	zhitongliucao
直通螺栓	zhitongluoshuan
直通式加热炉	zhitongshijiarelu
直通式炉	zhitongshilu
直通铁路线	zhitongtieluxian
直通旋塞	zhitongxuansai
直头机	zhitouji
直头机旋转角	zhitoujixuanzhuanjiao
直投影像	zhitouyingxiang
直头装置	zhitouzhuangzhi
制图	zhitu
制图比例尺	zhitubilichi
制图常数	zhituchangshu
制图机	zhituji
制图术	zhitushu
制图仪	zhituyi
制图仪器	zhituyiqi
制图质量	zhituzhiliang
制团	zhituan
制团机	zhituanji
止推板	zhituiban
止推辊	zhituigun
止推滚柱轴承	zhituigunzhuzhoucheng
止推滚珠轴承	zhituigunzhuzhoucheng
止推滑座	zhituihuazuo
止推肩环	zhituijianhuan
止推面	zhituimian
止推能力	zhituinengli
止退钳	zhituiqian
止推支承	zhituizhicheng
止推支座	zhituizhizuo
止推轴承	zhituizhoucheng
止推轴承板	zhituizhouchengban
止推轴承环	zhituizhouchenghuan
止推轴承箱	zhituizhouchengxiang
止推轴颈	zhituizhoujing
止推座	zhituizuo
制外单位	zhiwaidanwei
织网运输带	zhiwangyunshudai
织物衬垫	zhiwuchendian
织物衬里	zhiwuchenli
织物酚醛塑胶	zhiwufenquansujiao
织物过滤器	zhiwuguolvqi
织物滤器	zhiwulvqi
直线焙烧炉	zhixianbeishaolu
直线尺寸	zhixianchicun
直线搭接接头	zhixiandajiejietou
直线定律	zhixiandinglv
直线风温	zhixianfengwen
直线关系	zhixianguanxi
直线过程	zhixianguocheng
直线焊缝焊接	zhixianhanfenghanjie
直线函数	zhixianhanshu
直线化	zhixianhua
直线滑槽联杆	zhixianhuacaoliangan
直线节距	zhixianjieju
直线拉拔	zhixianlaba
直线排列	zhixianpailie
直线切割	zhixianqiege
直线切割导板	zhixianqiegedaoban
直线切割机	zhixianqiegeji
直线式拉丝机	zhixianshilasiji
直线速度	zhixiansudu
直线位错	zhixianweicuo
直线性	zhixianxing
直线延长	zhixianyanchang
直线延伸	zhixianyanshen
直线总收缩	zhixianzongshousuo
直线坐标	zhixianzuobiao
指向角	zhixiangjiao
指向脉冲	zhixiangmaichong
制箱木料	zhixiangmuliao
指向塔	zhixiangta
指向性增益	zhixiangxingzengyi
制销	zhixiao
支销	zhixiao
止销	zhixiao
枝芯	zhixin
制芯工段	zhixingongduan
制芯工工作台	zhixingonggongzuotai
制芯间	zhixinjian
置信界限	zhixinjiexian
制锌粒	zhixinli
置信区间	zhixinqujian
置信系数	zhixinxishu
置信限度	zhixinxiandu
制芯油	zhixinyou
之形耙	zhixingba
指形齿轮铣刀	zhixingchilunxidao
指形触点	zhixingchudian
执行电动机	zhixingdiandongji
执行记录	zhixingjilu
执行计算机	zhixingjisuanji
执行机械	zhixingjixie
直型结晶器	zhixingjiejingqi
指形冷凝管	zhixinglengningguan
执行通路	zhixingtonglu
支型芯	zhixingxin
制型用材料	zhixingyongcailiao
执行诊断系统	zhixingzhenduanxitong
直压	zhiya
直轧闭口孔型	zhiyabikoukongxing
直焰	zhiyan
支烟道	zhiyandao
直焰式锅炉	zhiyanshiguolu
直焰窑	zhiyanyao
制氧车间	zhiyangchejian
直叶片	zhiyepian
职业照射	zhiyezhaoshe
指印现象	zhiyinxianxiang
制造产品	zhizaochanpin
制造公差	zhizaogongcha
制造工序	zhizaogongxu
制造工艺	zhizaogongyi
制造技术	zhizaojishu
制造缺陷	zhizaoquexian
制造设备	zhizaoshebei
制造设计	zhizaosheji
织造物	zhizaowu
制造状态	zhizaozhuangtai
制毡	zhizhan
执照领有者	zhizhaolingyouzhe
执照许可证	zhizhaoxukezheng
指针板	zhizhenban
制针钢丝	zhizhengangsi
指针偏转	zhizhenpianzhuan
指针式检流计	zhizhenshijianliuji
指针式仪表	zhizhenshiyibiao
制针用黄铜丝	zhizhenyonghuangtongsi
制止螺杆	zhizhiluogan
支轴	zhizhou
制轴承粉料	zhizhouchengfenliao
直肘杆	zhizhougan
支柱垫板	zhizhudianban
直砖格	zhizhuange
制砖粘土	zhizhuanniantu
制砖土	zhizhuantu
制砖用润滑油	zhizhuanyongrunhuayou
支桩	zhizhuang
指状篦条	zhizhuangbitiao
指状浇口	zhizhuangjiaokou
枝状结晶	zhizhuangjiejing
枝状晶带	zhizhuangjingdai
枝状晶体	zhizhuangjingti
枝状裂纹	zhizhuangliewen
枝状生长	zhizhuangshengzhang
直锥	zhizhui
质子磁子	zhizicizi
质子惰性溶剂	zhiziduoxingrongji
质子分解	zhizifenjie
质子轰击	zhizihongji
质子回磁比	zhizihuicibi
质子亲和力	zhiziqinheli
之字线	zhizixian
质子显微镜	zhizixianweijing
之字形管道	zhizixingguandao
之字形轨机	zhizixingguiji
之字形窑	zhizixingyao
质子窄束	zhizizhaishu
质子照射	zhizizhaoshe
脂族胺	zhizuan
脂族酸	zhizusuan
脂族洗油	zhizuxiyou
直嘴夹钳	zhizuijiaqian
支座	zhizuo
支座大砖	zhizuodazhuan
支座绝缘子	zhizuojueyuanzi
制作凸缘	zhizuotuyuan
重锕系元素	zhongaxiyuansu
仲胺	zhongan
终拔前尺寸	zhongbaqianchicun
种板	zhongban
种板槽	zhongbancao
中板轧机	zhongbanzhaji
中倍物镜	zhongbeiwujing
钟表黄铜	zhongbiaohuangtong
钟表机构	zhongbiaojigou
钟表弹簧	zhongbiaotanhuang
中部衬	zhongbuchen
中部加热元件	zhongbujiareyuanjian
中部内衬	zhongbuneichen
中部试样	zhongbushiyang
仲裁分析	zhongcaifenxi
仲裁化验	zhongcaihuayan
仲裁试棒	zhongcaishibang
仲裁试验	zhongcaishiyan
重差高度计	zhongchagaoduji
重掺杂籽晶	zhongchanzazijing
中沉校准	zhongchenjiaozhun
重锤平衡装置	zhongchuipinghengzhuangzhi
重锤式平衡	zhongchuishipingheng
重锤头	zhongchuitou
中纯度氧	zhongchunduyang
中粗锉	zhongcucuo
重萃液	zhongcuiye
中档速度	zhongdangsudu
中导孔	zhongdaokong
中等尺寸	zhongdengchicun
中等电流密度	zhongdengdianliumidu
中等负载	zhongdengfuzai
中等高温	zhongdenggaowen
中等功率机	zhongdenggonglvji
中等功率机床	zhongdenggonglvjichuang
中等工作制	zhongdenggongzuozhi
中等厚度内衬	zhongdenghouduneichen
中等回火钢	zhongdenghuihuogang
中等晶体	zhongdengjingti
中等宽度带钢	zhongdengkuandudaigang
中等冷却速率	zhongdenglengquesulv
中等炉身竖炉	zhongdenglushenshulu
中等耐火泥浆	zhongdengnaihuonijiang
中等耐火砖	zhongdengnaihuozhuan
中等强度	zhongdengqiangdu
中等强度材料	zhongdengqiangducailiao
中等强度电流	zhongdengqiangdudianliu
中等强度合金	zhongdengqiangduhejin
中等强度级	zhongdengqiangduji
中等热值热量	zhongdengrezhireliang
中等容量炉	zhongdengronglianglu
中等速度	zhongdengsudu
中等温度	zhongdengwendu
中等硬度	zhongdengyingdu
中等硬度钢	zhongdengyingdugang
中等运转性能	zhongdengyunzhuanxingneng
钟底料罐	zhongdiliaoguan
终点吹炼	zhongdianchuilian
终点挡板	zhongdiandangban
终点钢水温度	zhongdiangangshuiwendu
终点开关	zhongdiankaiguan
终点控制	zhongdiankongzhi
终点料栈	zhongdianliaozhan
终点速度	zhongdiansudu
终点碳	zhongdiantan
终点位置	zhongdianweizhi
终点温度	zhongdianwendu
中点载荷	zhongdianzaihe
终点站堆料场	zhongdianzhanduiliaochang
终点栈房	zhongdianzhanfang
重定路线	zhongdingluxian
钟斗	zhongdou
钟斗式设备	zhongdoushishebei
重堵缝	zhongdufeng
中毒树脂	zhongdushuzhi
终锻	zhongduan
中断处理程序	zhongduanchulichengxu
终端处理机	zhongduanchuliji
中断床面	zhongduanchuangmian
终端负载	zhongduanfuzai
终端杆架	zhongduanganjia
终端固定接头	zhongduangudingjietou
中断级	zhongduanji
中断记录	zhongduanjilu
终端架	zhongduanjia
终端交换器	zhongduanjiaohuanqi
终端绝缘子	zhongduanjueyuanzi
终端控制元件	zhongduankongzhiyuanjian
终端链	zhongduanlian
终端连杆	zhongduanliangan
中断侵蚀回旋	zhongduanqinshihuixuan
中断时间	zhongduanshijian
终端塔	zhongduanta
终端套管	zhongduantaoguan
终端条件	zhongduantiaojian
终端停车装置	zhongduantingchezhuangzhi
终端位置	zhongduanweizhi
终端线夹	zhongduanxianjia
终端限位开关	zhongduanxianweikaiguan
中断响应	zhongduanxiangying
中断优先权	zhongduanyouxianquan
中段铸件	zhongduanzhujian
终反应	zhongfanying
中分面飞轮	zhongfenmianfeilun
重负荷	zhongfuhe
重负荷操作	zhongfuhecaozuo
重负荷用油	zhongfuheyongyou
重负荷运行	zhongfuheyunxing
重负载接触器	zhongfuzaijiechuqi
重负载馈电线	zhongfuzaikuidianxian
钟杆	zhonggan
钟杆推力轴承	zhonggantuilizhoucheng
重铬酸钼	zhonggesuanmu
重铬酸铷	zhonggesuanru
重铬酸盐	zhonggesuanyan
中耕机组	zhonggengjizu
中耕器锄铲	zhonggengqichuchan
中耕作物喷杆	zhonggengzuowupengan
重工业设备	zhonggongyeshebei
重骨料	zhongguliao
重刮	zhonggua
重轨	zhonggui
中规模集成	zhongguimojicheng
重硅酸钙	zhongguisuangai
中辊	zhonggun
中国白铜	zhongguobaitong
中国白涂料	zhongguobaituliao
中国金属学会	zhongguojinshuxuehui
中国美术黄铜	zhongguomeishuhuangtong
中国镍银	zhongguonieyin
中国青铜	zhongguoqingtong
中国桐油	zhongguotongyou
重焊	zhonghan
中和比	zhonghebi
中和槽	zhonghecao
中和堆场	zhongheduichang
中和法	zhonghefa
中和工段	zhonghegongduan
中和接受法	zhonghejieshoufa
中合金钢	zhonghejingang
中和料场	zhongheliaochang
中和料堆	zhongheliaodui
中和器	zhongheqi
中和溶液	zhongherongye
中和升力线	zhongheshenglixian
中和酸	zhonghesuan
中和效应	zhonghexiaoying
重荷蓄压器	zhonghexuyaqi
重荷载	zhonghezai
中和值	zhonghezhi
中厚板	zhonghouban
中厚板堆垛机	zhonghoubanduiduoji
中厚板翻转机	zhonghoubanfanzhuanji
中厚板剪切机	zhonghoubanjianqieji
中厚板精整	zhonghoubanjingzheng
中厚板平整机	zhonghoubanpingzhengji
中厚板轧机	zhonghoubanzhaji
中厚钢板	zhonghougangban
中厚钢板轧制	zhonghougangbanzhazhi
中厚黄铜板	zhonghouhuangtongban
中弧线弯度	zhonghuxianwandu
重混合	zhonghunhe
重混凝土	zhonghunningtu
中脊	zhongji
中继电缆	zhongjidianlan
重级吊车梁	zhongjidiaocheliang
重激活	zhongjihuo
中继继电器	zhongjijidianqi
重级路面	zhongjilumian
中脊面	zhongjimian
中级配合	zhongjipeihe
中级品位	zhongjipinwei
锺击试验	zhongjishiyan
中级氧化铅砖	zhongjiyanghuaqianzhuan
中继预选器	zhongjiyuxuanqi
仲甲醛	zhongjiaquan
中间包	zhongjianbao
中间包挡墙	zhongjianbaodangqiang
中间包浇铸	zhongjianbaojiaozhu
中间包浇注	zhongjianbaojiaozhu
中间贝氏体	zhongjianbeishiti
中间壁	zhongjianbi
中间槽	zhongjiancao
中间层面	zhongjiancengmian
中间层试样	zhongjiancengshiyang
中间产品	zhongjianchanpin
中间产物	zhongjianchanwu
中间产物品位	zhongjianchanwupinwei
中间齿轮	zhongjianchilun
中间杵架	zhongjianchujia
中间初轧机	zhongjianchuzhaji
中间存储器	zhongjiancunchuqi
中间带	zhongjiandai
中间带卷	zhongjiandaijuan
中间道次	zhongjiandaoci
中间电极	zhongjiandianji
中间堆栈	zhongjianduizhan
中间发送器	zhongjianfasongqi
中间反应塔	zhongjianfanyingta
中间钢水包	zhongjiangangshuibao
中间钢丝	zhongjiangangsi
中间隔墙	zhongjiangeqiang
中间工序冲床	zhongjiangongxuchongchuang
中间固溶化	zhongjianguronghua
中间罐	zhongjianguan
中间罐底	zhongjianguandi
中间罐盖	zhongjianguangai
中间罐烘烤	zhongjianguanhongkao
中间罐烘烤站	zhongjianguanhongkaozhan
中间罐浇铸	zhongjianguanjiaozhu
中间罐浇注	zhongjianguanjiaozhu
中间罐冷却区	zhongjianguanlengquequ
中间罐里衬	zhongjianguanlichen
中间罐水口	zhongjianguanshuikou
中间罐维修区	zhongjianguanweixiuqu
中间罐小车	zhongjianguanxiaoche
中间罐预热站	zhongjianguanyurezhan
中间罐运送车	zhongjianguanyunsongche
中间罐支架	zhongjianguanzhijia
中间辊	zhongjiangun
中间辊道	zhongjiangundao
中间辊环	zhongjiangunhuan
中间过程	zhongjianguocheng
中间合金	zhongjianhejin
中间合金法	zhongjianhejinfa
中间合物	zhongjianhewu
中间回火	zhongjianhuihuo
重剪机	zhongjianji
中间继电器	zhongjianjidianqi
中间机组	zhongjianjizu
中间机座	zhongjianjizuo
中间加热	zhongjianjiare
中间加热器	zhongjianjiareqi
中间间隔	zhongjianjiange
中间减速器	zhongjianjiansuqi
中间浇注槽	zhongjianjiaozhucao
中间浇注桶	zhongjianjiaozhutong
中间结构	zhongjianjiegou
中间介质	zhongjianjiezhi
中间金属	zhongjianjinshu
中间精选	zhongjianjingxuan
中间卷线筒	zhongjianjuanxiantong
中间浪	zhongjianlang
中间冷凝器	zhongjianlengningqi
中间冷却器	zhongjianlengqueqi
中间冷却循环	zhongjianlengquexunhuan
中间联结辊道	zhongjianlianjiegundao
中间粮箱	zhongjianliangxiang
中间料槽	zhongjianliaocao
中间溜槽	zhongjianliucao
中间馏份	zhongjianliufen
中间馏分	zhongjianliufen
中间炉	zhongjianlu
中间炉膛	zhongjianlutang
中间轮	zhongjianlun
中间内壁	zhongjianneibi
中间配电盘	zhongjianpeidianpan
中间平台	zhongjianpingtai
中间破碎	zhongjianposui
中间破碎机	zhongjianposuiji
中间区段	zhongjianquduan
中间热处理	zhongjianrechuli
中间热交换器	zhongjianrejiaohuanqi
中间软化退火	zhongjianruanhuatuihuo
中间烧结	zhongjianshaojie
中间室	zhongjianshi
中间试验设备	zhongjianshiyanshebei
中间试验性产	zhongjianshiyanxingchan
中间四碘化物	zhongjiansidianhuawu
中间钛合金	zhongjiantaihejin
中间套管	zhongjiantaoguan
中间填充带	zhongjiantianchongdai
中间铁合金	zhongjiantiehejin
中间透镜	zhongjiantoujing
中间涂层	zhongjiantuceng
中间图象	zhongjiantuxiang
中间退火	zhongjiantuihuo
中间退火操作	zhongjiantuihuocaozuo
中间退火钢丝	zhongjiantuihuogangsi
中间未熔合	zhongjianweironghe
中间未熔透	zhongjianweirongtou
中间析出物	zhongjianxichuwu
中间细痕	zhongjianxihen
中间细脉	zhongjianximai
中间相	zhongjianxiang
中间型硫杆菌	zhongjianxingliuganjun
中间型氧化铝	zhongjianxingyanghualv
中间轧坯	zhongjianyapi
中间氧化物相	zhongjianyanghuawuxiang
中间液相	zhongjianyexiang
中间预热器	zhongjianyureqi
中间载荷	zhongjianzaihe
中间轧机	zhongjianzhaji
中间轧制	zhongjianzhazhi
中间轧制道次	zhongjianzhazhidaoci
衷减振荡	zhongjianzhendang
衷减值	zhongjianzhi
中间指令	zhongjianzhiling
中间轴	zhongjianzhou
中间贮仓	zhongjianzhucang
中间转变	zhongjianzhuanbian
中间砖砌体	zhongjianzhuanqiti
