aaa 啊啊啊
yangyuanzi 氧原子
yangyuchi 养鱼池
yangyuhuan 杨玉环
yangzhenning 杨振宁
yangzhichang 养殖场
yangzhihu 养殖户
yangzhiqiu 羊脂球
yangzhiqu 养殖区
yangzhiye 养殖业
yangzhoushi 扬州市
yangzie 扬子鳄
yangzijiang 扬子江
yangzirong 杨子荣
yanhuachu 演化出
yanhuashi 演化史
yanhucheng 盐湖城
yanhuiting 宴会厅
yanjiande 眼见得
yanjiandi 盐碱地
yanjiangci 演讲词
yanjianggao 演讲稿
yanjianghui 演讲会
yanjiangshi 演讲时
yanjiangyan 岩浆岩
yanjiangzhe 演讲者
yanjianhua 盐碱化
yanjiaomo 眼角膜
yanjingjia 眼镜架
yanjingpian 眼镜片
yanjingshe 眼镜蛇
yanjinxing 严谨性
yanjishi 延吉市
yanjiubu 研究部
yanjiufa 研究法
yanjiufei 研究费
yanjiuhui 研究会
yanjiusheng 研究生
yanjiushi 研究室
yanjiusuo 研究所
yanjiuxing 研究性
yanjiuyuan 研究院
yanjiuzhe 研究者
yanjiuzu 研究组
yanjunxing 严峻性
yankuangli 眼眶里
yanliben 阎立本
yanluowang 阎罗王
yanlushang 沿路上
yanmenguan 雁门关
yanmixing 严密性
yanmoqu 淹没区
yanrongye 盐溶液
yanshanxian 铅山县
yanshaodao 延烧到
yanshengpin 衍生品
yanshenxing 延伸性
yanshigu 颜师古
yanshiquan 岩石圈
yanshuojia 演说家
yanshuozhe 演说者
yansuanyan 盐酸盐
yantaohui 研讨会
yanwaishang 眼外伤
yanwangye 阎王爷
yanwenjing 严文井
yanxishan 阎锡山
yanxuxing 延续性
yanyangjun 厌氧菌
yanyichu 演绎出
yanyifa 演绎法
yanyiquan 演艺圈
yanzhanxing 延展性
yanzhaowang 燕昭王
yanzhengma 验证码
yanzhengxing 炎症性
yanzhengzheng 眼睁睁
yanzhenqing 颜真卿
yanzhifen 胭脂粉
yanzhongxing 严重性
yanzhongzhe 严重者
yanzhuer 眼珠儿
yanzhuzi 眼珠子
yanzihua 盐渍化
yanzoufa 演奏法
yanzouhui 演奏会
yanzoujia 演奏家
yanzouyuan 演奏员
yanzouzhe 演奏者
yaobaiwu 摇摆舞
yaobizuan 摇臂钻
yaobude 要不得
yaobuliao 要不了
yaoburan 要不然
yaobushi 要不是
yaodaitou 要带头
yaofubu 腰腹部
yaogudui 腰鼓队
yaogunyue 摇滚乐
yaohuafei 要花费
yaojingtou 摇镜头
yaojishi 药剂师
yaokongche 遥控车
yaokongqi 遥控器
yaolanqu 摇篮曲
yaolixue 药理学
yaoqinghan 邀请函
yaoqingka 邀请卡
yaoqingsai 邀请赛
yaoqingxin 邀请信
yaoshikou 钥匙扣
yaowenyuan 姚文元
yaoyaotou 摇摇头
yaoyiyao 摇一摇
yaozhetou 摇着头
yaozheya 咬着牙
yapianyan 鸦片烟
yapingning 亚平宁
yapogan 压迫感
yapozhe 压迫者
yaredai 亚热带
yashuren 亚述人
yasuhai 亚速海
yasuiqian 压岁钱
yasuobao 压缩包
yasuoji 压缩机
yaxialai 压下来
yaxiaosuan 亚硝酸
yaxiaqu 压下去
yaxiya 亚细亚
yayigan 压抑感
yayousuan 亚油酸
yayuanzi 亚原子
yayunhui 亚运会
yazhaji 压榨机
yazhicao 鸭跖草
yazuishou 鸭嘴兽
yeduisheng 叶对生
yeerlia 爷儿俩
yeguangbei 夜光杯
yehuangsu 叶黄素
yehuaqi 液化气
yejianying 叶剑英
yejingban 液晶板
yejingping 液晶屏
yejinye 冶金业
yejuhua 野菊花
yelianchang 冶炼厂
yeliqin 叶利钦
yelvsu 叶绿素
yelvti 叶绿体
yemangmang 野茫茫
yemangzheng 夜盲症
yemeigui 野玫瑰
yemingchen 叶名琛
yeqiaobo 叶乔波
yeshenchen 夜深沉
yeshenghuo 夜生活
yeshengtao 叶圣陶
yeshengxing 野生型
yeshiyi 夜视仪
yeshoupai 野兽派
yetaiqing 液态氢
yetaishui 液态水
yetaiyang 液态氧
yexingren 夜行人
yexinjia 野心家
yexiubing 叶锈病
yeyagang 液压缸
yeyaji 液压机
yeyayou 液压油
yezhanjun 野战军
yezhichao 叶志超
yezishu 椰子树
yezonghui 夜总会
yibahan 一把汗
yibaiba 一百八
yibaiduo 一百多
yibaifen 一百分
yibaige 一百个
yibaike 一百颗
yibaimi 一百米
yibainian 一百年
yibaiwan 一百万
yibanhua 一般化
yibanxing 一般性
yibaowu 易爆物
yibashou 一把手
yibazhang 一巴掌
yibazhua 一把抓
yibeizi 一辈子
yibiaopan 仪表盘
yibingchun 异丙醇
yibinshi 宜宾市
yibiqian 蚁鼻钱
yibubu 一步步
yibude 亦不得
yibufen 一部分
yicengceng 一层层
yicenglou 一层楼
yichana 一刹那
yichandi 遗产地
yichangchuan 一长串
yichangshi 宜昌市
yichaojie 易潮解
yichuanbing 遗传病
yichuanchuan 一串串
yichuanxing 遗传性
yichuanxue 遗传学
yicici 一次次
yicixing 一次性
yicundu 依存度
yidabu 一大步
yidadui 一大堆
yidaidai 一代代
yidairen 一代人
yidali 意大利
yidanshi 一箪食
yidaodao 一道道
yidaosu 胰岛素
yidapi 一大批
yidaqun 一大群
yidatiao 一大跳
yidazao 一大早
yidenggong 一等功
yidengjiang 一等奖
yidiandian 一点点
yidianer 一点儿
yidianzhong 一点钟
yidingshu 议定书
yidingwan 异丁烷
yidingxi 异丁烯
yidishui 一滴水
yidongdong 一栋栋
yidongwang 移动网
yidongxing 移动性
yiduanduan 一段段
yiduanhua 一段话
yiduanlu 一段路
yiduidui 一堆堆
yiduiyi 一对一
yidunfan 一顿饭
yiduoban 一多半
yiduodun 亿多吨
yiduohua 一朵花
yierba 一二八
yierchun 乙二醇
yierjiu 一二九
yieryi 一二一
yifangmian 一方面
yifanhua 一番话
yifengxin 一封信
yifenzhong 一分钟
yifufu 一幅幅
yifuyu 依附于
yigaoda 以高达
yigeban 一个半
yigeduo 一个多
yigeer 伊戈尔
yigege 一个个
yigejiao 一个角
yigequan 一个圈
yigetou 一个头
yigetuan 一个团
yigeyang 一个样
yigeyue 一个月
yigouti 异构体
yiguanxing 一贯性
yigujin 一股劲
yiguoqi 已过期
yiguozhou 一锅粥
yihanghang 一行行
yihequan 义和拳
yihetuan 义和团
yiheyuan 颐和园
yihuier 一会儿
yihuifa 易挥发
yihuishi 一回事
yihuizhi 议会制
yihujiu 一壶酒
yihushui 一壶水
yijiangnan 忆江南
yijianjian 一件件
yijianshu 意见书
yijiaotu 异教徒
yijiaqin 一家亲
yijiaren 一家人
yijiazi 一家子
yijieke 一节课
yijinjing 易筋经
yijuhua 一句话
yijuju 一句句
yikaozai 倚靠在
yikatong 一卡通
yikeke 一颗颗
yikeshu 一棵树
yikezhong 一刻钟
yikoukou 一口口
yikouqi 一口气
yikuaier 一块儿
yikuaikuai 一块块
yilaguan 易拉罐
yilaidu 依赖度
yilaitu 依赖图
yilaixing 依赖性
yilaiyu 依赖于
yilake 伊拉克
yilanxian 宜兰县
yilanzi 一揽子
yilianchuan 一连串
yiliangche 一辆车
yiliangci 一两次
yiliangge 一两个
yiliangtian 一两天
yiliaodui 医疗队
yiliaofei 医疗费
yilisi 伊利斯
yiliya 伊利亚
yiliyu 以利于
yilongxian 仪陇县
yilunwen 议论文
yilushang 一路上
yimaqi 译码器
yimeiyuan 亿美元
yimengshan 沂蒙山
yimianmian 一面面
yimiaozhong 一秒钟
yiminqu 移民区
yimumu 一幕幕
yinbaise 银白色
yinbianliang 因变量
yinbixing 隐蔽性
yinbuqi 引不起
yinchehuo 因车祸
yinchenchen 阴沉沉
yinchuanshi 银川市
yinchulai 引出来
yindian 印第安
yindiyu 印地语
yinduhe 印度河
yindujiao 印度教
yinduren 印度人
yinduyang 印度洋
yinershi 因而是
yinfachu 引发出
yingbianli 应变力
yingchengshi 应城市
yingchunhua 迎春花
yingcipan 硬磁盘
yingdaoli 硬道理
yingerche 婴儿车
yingerqi 婴儿期
yingfade 英法德
yinggelan 英格兰
yingguangdeng 荧光灯
yingguangping 荧光屏
yingguoguan 英国管
yingguoren 英国人
yingguoshi 英国史
yinggutou 硬骨头
yinghanzi 硬汉子
yinghuaxing 硬化性
yinghuochong 萤火虫
yingjili 英吉利
yingjingxian 荥经县
yingjuyuan 影剧院
yinglianbang 英联邦
yingliji 应立即
yinglilv 盈利率
yingnvwang 英女王
yingpinzhe 应聘者
yingraozai 萦绕在
yingshidang 应适当
yingshiju 影视剧
yingshizhe 应试者
yingtaoyuan 樱桃园
yingteer 英特尔
yinguifang 尹桂芳
yingwenming 英文名
yingwenxi 英文系
yingwuluo 鹦鹉螺
yingxiangli 影响力
yingxinchun 迎新春
yingyangpin 营养品
yingyangshi 营养师
yingyangsu 营养素
yingyangxing 营养性
yingyangxue 营养学
yingyangye 营养液
yingyelin 硬叶林
yingyeshui 营业税
yingyeting 营业厅
yingyiben 英译本
yingyongceng 应用层
yingyongti 应用题
yingyongwen 应用文
yingyongxing 应用型
yingyouer 婴幼儿
yingyuke 英语课
yingyuyi 应予以
yingzhaozai 映照在
yingzhiban 硬纸板
yingzhibiao 硬指标
yingzhisuan 硬脂酸
yinhangjia 银行家
yinhangka 银行卡
yinhangquan 银行券
yinhangtuan 银行团
yinhangye 银行业
yinhexi 银河系
yinhuabu 印花布
yinhuanshe 银环蛇
yinianji 一年级
yinianqi 一年期
yiniansheng 一年生
yinjingyuan 印经院
yinliangchu 阴凉处
yinliaoguan 饮料罐
yinliaoping 饮料瓶
yinlichang 引力场
yinlingzhe 引领者
yinlinian 阴历年
yinlizi 阴离子
yinluren 引路人
yinouyu 印欧语
yinsensen 阴森森
yinshangqu 印上去
yinshenyi 引申义
yinshexian 因涉嫌
yinshipin 音视频
yinshoushi 银首饰
yinshuaban 印刷版
yinshuachang 印刷厂
yinshuaji 印刷机
yinshuapin 印刷品
yinshuashu 印刷术
yinshuati 印刷体
yinshuaye 印刷业
yinshuazhi 印刷纸
yinshuichu 饮水处
yinshuiji 饮水机
yinshuiliang 饮水量
yinshuiqu 引水渠
yinsiquan 隐私权
yintewang 因特网
yinxiangpai 印象派
yinxingshu 银杏树
yinyangjia 阴阳家
yinyangli 阴阳历
yinyongshui 饮用水
yinyueba 音乐吧
yinyuehe 音乐盒
yinyuehui 音乐会
yinyuejia 音乐家
yinyuejiang 音乐奖
yinyuejie 音乐节
yinyueju 音乐剧
yinyueke 音乐课
yinyueku 音乐库
yinyuesheng 音乐声
yinyueshi 音乐史
yinyueting 音乐厅
yinyuexi 音乐系
yinyuexing 音乐性
yinyutian 阴雨天
yinzhiban 印制板
yipaipai 一排排
yipianpian 一片片
yipipi 一批批
yiposui 易破碎
yiqianduo 一千多
yiqiange 一千个
yiqine 忆秦娥
yiquanquan 一圈圈
yiqunqun 一群群
yiququ 一曲曲
yiranwu 易燃物
yisaoguang 一扫光
yiselie 以色列
yishangzhe 以上者
yishanmen 一扇门
yishashi 一霎时
yishihua 仪式化
yishijian 一时间
yishishi 异史氏
yishiwu 遗失物
yishouge 一首歌
yishuangshuang 一双双
yishubu 艺术部
yishuguan 艺术馆
yishuhua 艺术化
yishuihan 易水寒
yishujia 艺术家
yishujie 艺术节
yishulei 艺术类
yishumei 艺术美
yishunjian 一瞬间
yishupian 艺术片
yishupin 艺术品
yishushi 艺术史
yishutuan 艺术团
yishuxing 艺术性
yishuzhan 艺术展
yishuzhao 艺术照
yishuzhong 一书中
yisilan 伊斯兰
yisuangan 乙酸酐
yisuanna 乙酸钠
yisushe 易俗社
yitaitai 姨太太
yitaiwang 以太网
yitangke 一堂课
yitiantian 一天天
yitiaojie 一条街
yitiaolong 一条龙
yitiaotiao 一条条
yitiaoxian 一条线
yitihua 一体化
yitizi 异体字
yituanzao 一团糟
yiwanduo 一万多
yiwannian 一万年
yiwanyuan 一万元
yiweizhe 意味着
yiwenci 疑问词
yiwenju 疑问句
yiwenqian 一文钱
yiwokan 依我看
yiwubing 义务兵
yiwufa 义务法
yiwushi 义乌市
yixiaer 一下儿
yixianji 乙酰基
yixiaobao 一小包
yixiaodui 一小堆
yixiaokuai 一小块
yixiaopian 一小片
yixiaxia 一下下
yixiazi 一下子
yixihua 一席话
yixilie 一系列
yixingshi 宜兴市
yixuebu 医学部
yixuejia 医学家
yixuejie 医学界
yixueshi 医学史
yixueyuan 医学院
yixunzhe 依循着
yiyangqiang 弋阳腔
yiyangshi 益阳市
yiyantang 一言堂
yiyanzhi 易言之
yiyaofei 医药费
yiyaoxue 医药学
yiyeguan 移液管
yiyeqi 移液器
yiyingcun 一英寸
yiyiyi 议一议
yiyongjun 义勇军
yiyongxing 易用性
yiyuansuan 一元酸
yiyuanti 衣原体
yiyuefen 一月份
yiyuzheng 抑郁症
yizengren 遗赠人
yizhandeng 一盏灯
yizhangdui 仪仗队
yizhanshi 一站式
yizhanzhan 一盏盏
yizhayan 一眨眼
yizhenfeng 一阵风
yizhengtao 一整套
yizhengtian 一整天
yizhenzi 一阵子
yizhiji 抑制剂
yizhili 意志力
yizhishu 已知数
yizhixing 一致性
yizhiyu 以至于
yizhongren 意中人
yizhongtian 易中天
yizhousui 一周岁
yizhuangzhuang 一幢幢
yizuozuo 一座座
yongbushang 用不上
yongbuwan 用不完
yongbuzhao 用不着
yongcailin 用材林
yongchunquan 咏春拳
yongciti 永磁体
yongdeshang 用得上
yongdezhao 用得着
yongdianliang 用电量
yongdinghe 永定河
yongdingmen 永定门
yongdongji 永动机
yongduoda 用多大
yongganzhe 勇敢者
yonghegong 雍和宫
yonghuduan 用户端
yonghuming 用户名
yonghushu 用户数
yonghuzhe 拥护者
yongjiner 用劲儿
yongjingxian 永靖县
yongjiuxing 永久性
yongjixian 永济县
yonglegong 永乐宫
yongningxian 永宁县
yongshanglai 涌上来
yongshouxian 永寿县
yongshouzhang 用手掌
yongshuiliang 用水量
yongshujiao 永暑礁
yongshunxian 永顺县
yongtandiao 咏叹调
yongtubiao 用图表
yongxianchu 涌现出
yongxingdao 永兴岛
yongyouliang 拥有量
yongyouzhe 拥有者
yongyule 永遇乐
yongzhengdi 雍正帝
youanmen 右安门
youbawo 有把握
youbieyu 有别于
youbude 由不得
youbuzhou 有步骤
youcaigan 有才干
youcaihua 油菜花
youcaizi 油菜籽
youchengxiang 右丞相
youchuntu 游春图
youdaijin 优待金
youdaiyu 有待于
youdaoxing 诱导型
youdeshi 有的是
youdianer 有点儿
youdianxiang 有点像
youdiyuan 邮递员
youduoshen 有多深
youduoyuan 有多远
youeryuan 幼儿园
youfencun 有分寸
youganyu 有感于
youhengxin 有恒心
youhoufang 右后方
youhuabu 油画布
youhuajia 油画家
youhuilai 游回来
youhuiquan 优惠券
youhuiyou 又会有
youhuizai 又会在
youhulu 油葫芦
youjidui 游击队
youjifei 有机肥
youjijie 有机界
youjilin 有机磷
youjilv 有机氯
youjiner 有劲儿
youjiqu 游击区
youjisuan 有机酸
youjiti 有机体
youjiwu 有机物
youjizhan 游击战
youjizhi 有机质
youkonger 有空儿
youlaiyu 有赖于
youlanche 游览车
youlantu 游览图
youlanzhe 游览者
youlechang 游乐场
youleyuan 游乐园
youlihong 釉里红
youlishu 有理数
youlitai 游离态
youliyu 有利于
youmeiyou 有没有
youmingqi 有名气
youmogan 幽默感
younianqi 幼年期
youniding 由你定
younigan 油腻感
youpuye 右仆射
youqianfang 右前方
youqianren 有钱人
youqigong 油漆工
youqise 有起色
youqitian 油气田
youqiuyu 有求于
youquedian 优缺点
yousanda 有三大
youshangfang 右上方
youshangjiao 右上角
youshengzhe 优胜者
youshenlun 有神论
youshihou 有时候
yousuanwei 有酸味
yousunyu 有损于
youtaiduo 有太多
youtaijiao 犹太教
youtairen 犹太人
youtiaoli 有条理
youtiaowen 有条纹
youtilei 有蹄类
youxiafang 右下方
youxiajiao 右下角
youxiande 悠闲地
youxiandian 有线电
youxiangtu 有向图
youxianji 优先级
youxianquan 优先权
youxianwang 有线网
youxianxing 有限性
youxiaolv 有效率
youxiaoqi 有效期
youxiaoxing 有效性
youxiaozhi 有效值
youxiba 游戏吧
youxiji 游戏机
youxinren 有心人
youxiting 游戏厅
youxiuzhe 优秀者
youxixing 游戏性
youxuanfa 优选法
youxuhua 有序化
youxuxing 有序性
youyishi 有意识
youyisi 有意思
youyiyu 有益于
youyongchang 游泳场
youyongchi 游泳池
youyonggong 有用功
youyongguan 游泳馆
youyongma 有用吗
youyuanjian 有远见
youyuegan 优越感
youyuexing 优越性
youyuxian 右玉县
youyuzheng 忧郁症
youzhengju 邮政局
youzhibing 幼稚病
youzhisan 油纸伞
youzhizhe 有志者
youzhuyu 有助于
yuanbaoshan 元宝山
yuanbenhui 原本会
yuanburu 远不如
yuanbuyuan 愿不愿
yuanbuzhi 远不止
yuancailiao 原材料
yuanchandi 原产地
yuanchaoguo 远超过
yuanchengxu 源程序
yuanchengzong 元成宗
yuanchuangxing 原创性
yuandadu 元大都
yuandaima 源代码
yuandianchi 原电池
yuandongli 原动力
yuanfaxing 原发性
yuangaoyu 远高于
yuanhongdao 袁宏道
yuanhuxing 圆弧形
yuanjiaoqu 远郊区
yuanjuli 远距离
yuanlaoyuan 元老院
yuanlitu 原理图
yuanlongping 袁隆平
yuanmianji 圆面积
yuanmingqing 元明清
yuanmingyuan 圆明园
yuanmouren 元谋人
yuanmouxian 元谋县
yuanqijian 元器件
yuanqu 裕安区
yuanridian 远日点
yuanshengtai 原生态
yuanshengzhi 原生质
yuanshikai 袁世凯
yuanshiren 原始人
yuanshiyan 远视眼
yuanshizu 元世祖
yuantaizu 元太祖
yuantongxing 圆筒形
yuanweihua 鸢尾花
yuanwenjian 源文件
yuanwuqu 圆舞曲
yuanxianquan 原线圈
yuanxiaojie 元宵节
yuanxingji 原型机
yuanxinjiao 圆心角
yuanxuefen 袁雪芬
yuanyangchuan 远洋船
yuanyanglou 鸳鸯楼
yuanyangxian 元阳县
yuanyijia 园艺家
yuanyishi 园艺师
yuanyiwei 原以为
yuanyixue 园艺学
yuanyiye 园艺业
yuanyuande 远远地
yuanyuyan 源语言
yuanzaju 元杂剧
yuanzeshang 原则上
yuanzexing 原则性
yuanzhengjun 远征军
yuanzhengnan 远征难
yuanzhoujiao 圆周角
yuanzhoulv 圆周率
yuanzhubi 圆珠笔
yuanzhuiti 圆锥体
yuanzhuixing 圆锥形
yuanzhumin 原住民
yuanzhuti 圆柱体
yuanzhuxing 圆柱形
yuanzibi 原子笔
yuanzidan 原子弹
yuanzihe 原子核
yuanzijia 原子价
yuanziliang 原子量
yuanzilun 原子论
yuanzineng 原子能
yuanzishu 原子数
yuanzituan 原子团
yuanzixu 原子序
yuanzizhong 原子钟
yuanzuozhe 原作者
yubeixing 预备性
yubeiyi 预备役
yubidu 郁闭度
yubuda 雨不大
yubudao 遇不到
yubuzhuo 玉不琢
yucexing 预测性
yuchigong 尉迟恭
yuchishi 尉迟氏
yuchuli 预处理
yudafu 郁达夫
yuebingshi 阅兵式
yuebingtai 阅兵台
yuechengling 越城岭
yuedanhe 约旦河
yuedengyu 约等于
yueduke 阅读课
yueduqi 阅读器
yueduzhe 阅读者
yuefangyan 粤方言
yuefumu 岳父母
yuefushi 乐府诗
yuegangao 粤港澳
yuegongzi 月工资
yueguangguang 月光光
yuehanxun 约翰逊
yuejiajun 岳家军
yuejihua 月季花
yuejinjing 阅金经
yuejutuan 粤剧团
yuelaiyue 越来越
yuelanshi 阅览室
yueliangshan 月亮山
yueqiuche 月球车
yuequsheng 乐曲声
yuerdai 育儿袋
yuesefu 约瑟夫
yueshuli 约束力
yuewangmiao 岳王庙
yueyaer 月牙儿
yueyanglou 岳阳楼
yueyeche 越野车
yueyepao 越野跑
yueyuehong 月月红
yufangxing 预防性
yufangzhen 预防针
yuganyou 鱼肝油
yuguangzhong 余光中
yuguzu 裕固族
yuhaizhe 遇害者
yuhangju 宇航局
yuhangqu 余杭区
yuhangyuan 宇航员
yuhuangding 玉皇顶
yuhuashi 雨花石
yuhuayuan 御花园
yuhuizhe 与会者
yuhuoliang 渔获量
yujiaao 渔家傲
yujiangxian 余江县
yujianxing 预见性
yujiaxue 雨夹雪
yujinxiang 郁金香
yujutuan 豫剧团
yulaiyu 愈来愈
yulanhua 玉兰花
yulechang 娱乐场
yulequan 娱乐圈
yulexing 娱乐性
yuleye 娱乐业
yuliaodao 预料到
yuliaojie 欲了解
yuliaoku 语料库
yulinkeng 鱼鳞坑
yulunjie 舆论界
yumaoqiu 羽毛球
yumeiren 虞美人
yumenguan 玉门关
yumibing 玉米饼
yumidi 玉米地
yumihua 玉米花
yumili 玉米粒
yumimian 玉米面
yumiming 玉米螟
yumitian 玉米田
yumixin 玉米芯
yumizhong 玉米种
yunbingchuan 运兵船
yuncangliang 蕴藏量
yunchanfu 孕产妇
yunchouxue 运筹学
yunconglong 云从龙
yundongchang 运动场
yundongdui 运动队
yundongfu 运动服
yundonghui 运动会
yundongliang 运动量
yundongxie 运动鞋
yundongxing 运动性
yundongxue 运动学
yundongyuan 运动员
yundongzhan 运动战
yunguoqu 晕过去
yunhanzhe 蕴含着
yunhequ 运河区
yunlvcao 韵律操
yunlvgan 韵律感
yunnansheng 云南省
yunshikeng 陨石坑
yunshouping 恽寿平
yunshuche 运输车
yunshuji 运输机
yunshuliang 运输量
yunshuwang 运输网
yunshuxian 运输线
yunshuye 运输业
yunsuanfu 运算符
yunsuanqi 运算器
yunsuiqi 孕穗期
yunwushan 云雾山
yunxingku 运行库
yunxingtu 运行图
yunyingshang 运营商
yunyingzhe 运营者
yunyuchu 孕育出
yunzhongjun 云中君
yuqici 语气词
yuqishuo 与其说
yuquanshan 玉泉山
yurenjie 愚人节
yurongfu 羽绒服
yushezhi 预设值
yushihu 于是乎
yushitai 御史台
yushuiqing 鱼水情
yushushu 玉蜀黍
yushuxian 玉树县
yushuyan 余叔岩
yusiliao 鱼饲料
yusuanfa 预算法
yuwanchun 俞万春
yuweiwen 鱼尾纹
yuwenke 语文课
yuxuansai 预选赛
yuyanjia 预言家
yuyanmei 语言美
yuyanxing 语言性
yuyanxue 语言学
yuyanzhe 预言者
yuyaoshi 余姚市
yuyefa 渔业法
yuyemei 榆叶梅
yuyishang 语义上
yuyixue 语义学
yuyuegan 愉悦感
yuzhiding 禹之鼎
yuzhile 鱼之乐
yuzhongxue 育种学
yuzhouguan 宇宙观
yuzhoulun 宇宙论
yuzhoushi 禹州市
yuzhouxian 宇宙线
yuzhouxue 宇宙学
yuzhuci 语助词
yuzhufeng 玉珠峰
zahuodian 杂货店
zahuopu 杂货铺
zaibopian 载玻片
zaichengzhen 在城镇
zaichuliang 载畜量
zaihaixing 灾害性
zaijianmian 再见面
zaijiushi 再就是
zailiuzi 载流子
zainanxing 灾难性
zaishangwen 在上文
zaishengchan 再生产
zaishengzhi 再生纸
zaixianbu 再现部
zaixiaosheng 在校生
zaixunhuan 再循环
zaizhongliang 载重量
zajiaodao 杂交稻
zajiaoliu 杂交瘤
zanbiya 赞比亚
zanchengpiao 赞成票
zangkejia 臧克家
zanglingyang 藏羚羊
zanmeishi 赞美诗
zanshixing 暂时性
zanzhuzhe 赞助者
zaobichang 造币厂
zaochuanchang 造船厂
zaochuanye 造船业
zaochulai 造出来
zaodaotian 早稻田
zaofanpai 造反派
zaojiaoshu 皂角树
zaoshanghao 早上好
zaoshengyuan 噪声源
zaotangzi 澡堂子
zaotoule 糟透了
zaowuzhe 造物者
zaowuzhu 造物主
zaoxiandao 早籼稻
zaoyeshu 枣椰树
zaozhichang 造纸厂
zaozhishu 造纸术
zaozhiye 造纸业
zaozhongwan 早中晚
zashixing 杂食性
zazhishe 杂志社
zengchouji 增稠剂
zengguofan 曾国藩
zengjialiang 增加量
zengjiazhi 增加值
zengqiangxing 增强型
zengsuji 增塑剂
zengweiji 增味剂
zengzhangdian 增长点
zengzhangliang 增长量
zengzhanglv 增长率
zengzhangqi 增长期
zengzhie 增值额
zengzhishui 增值税
zengzufu 曾祖父
zenmeban 怎么办
zenmeyang 怎么样
zenmezhao 怎么着
zennengbu 怎能不
zerenfa 责任法
zerengan 责任感
zerenren 责任人
zerenxin 责任心
zerenzhi 责任制
zeweier 泽维尔
zeyeguan 择业观
zhabeiqu 闸北区
zhaerduo 扎耳朵
zhagangchang 轧钢厂
zhagangji 轧钢机
zhaijidi 宅基地
zhaiquanren 债权人
zhaiwuren 债务人
zhaixialai 摘下来
zhaizhigang 翟志刚
zhaliangzheng 查良铮
zhanbaiguo 战败国
zhanbuwen 站不稳
zhandezhu 站得住
zhandiyue 占地约
zhandouji 战斗机
zhandouli 战斗力
zhandouxing 战斗性
zhanduoshu 占多数
zhangailing 张爱玲
zhangaiping 张爱萍
zhangaiwu 障碍物
zhangaixing 障碍性
zhangbinglin 章炳麟
zhangbolun 张伯伦
zhangchunqiao 张春桥
zhangdaqian 张大千
zhangdiefu 涨跌幅
zhangguide 掌柜的
zhanghaidi 张海迪
zhanghaipeng 张海鹏
zhanghanhui 张寒晖
zhanghuaimin 张怀民
zhanghuiti 章回体
zhanghuzi 长胡子
zhangjiagang 张家港
zhangjiajie 张家界
zhangjiakou 张家口
zhangjianshi 长见识
zhangjiashan 张家山
zhangjingzhong 张景中
zhangjiuling 张九龄
zhangjuzheng 张居正
zhanglaoshi 张老师
zhangnaowan 樟脑丸
zhangqilai 涨起来
zhangshizhao 章士钊
zhangside 张思德
zhanguitai 站柜台
zhanguoce 战国策
zhangwentian 张闻天
zhangxiaomei 张晓梅
zhangxueliang 张学良
zhangyanghao 张养浩
zhangyeshi 张掖市
zhangzeduan 张择端
zhangzhidong 张之洞
zhangzhizhong 张治中
zhangzhongjing 张仲景
zhangzhoushi 漳州市
zhangzixian 长子县
zhangzizhong 张自忠
zhangzuolin 张作霖
zhankaibu 展开部
zhankongbi 占空比
zhanlanguan 展览馆
zhanlanhui 展览会
zhanlanpin 展览品
zhanlanting 展览厅
zhanlingjun 占领军
zhanlingqu 占领区
zhanlingzhe 占领者
zhanlipin 战利品
zhanlvejia 战略家
zhanlvexing 战略性
zhanmushi 詹姆士
zhanmusi 詹姆斯
zhanpianyi 占便宜
zhanranshang 沾染上
zhanshangfeng 占上风
zhanshengguo 战胜国
zhanshihui 展示会
zhantianyou 詹天佑
zhanxianchu 展现出
zhanyouliang 占有量
zhanyoulv 占有率
zhanyoushi 占优势
zhanyouzhe 占有者
zhanzhujiao 站住脚
zhanziqian 展子虔
zhaobuchu 找不出
zhaobuzhao 找不着
zhaochaer 找碴儿
zhaodaihui 招待会
zhaodengyu 赵登禹
zhaoduji 照度计
zhaofenger 招风耳
zhaoguolai 照过来
zhaohuodian 着火点
zhaojingzi 照镜子
zhaojinlai 招进来
zhaojuexian 昭觉县
zhaokuangyin 赵匡胤
zhaolaoshi 赵老师
zhaoliewen 赵烈文
zhaomingdan 照明弹
zhaomingdeng 照明灯
zhaomingdian 照明电
zhaopinhui 招聘会
zhaoqichi 沼气池
zhaoqingshi 肇庆市
zhaoshangju 招商局
zhaoshangzhi 赵尚志
zhaoshedao 照射到
zhaoshixiu 赵师秀
zhaoshizhe 肇事者
zhaoshuli 赵树理
zhaosuxian 昭苏县
zhaotiehua 招贴画
zhaotoubiao 招投标
zhaoxiangguan 照相馆
zhaoxiangji 照相机
zhaoyiman 赵一曼
zhaoyizhao 照一照
zhaoyuanren 赵元任
zhaoyuanshi 招远市
zhaozedi 沼泽地
zhaozhaokan 找找看
zhaozhichen 赵之琛
zhaozhishuo 照直说
zhaozhongyao 赵忠尧
zhaozhouqiao 赵州桥
zhaozilong 赵子龙
zhashenxing 查慎行
zhashutiao 炸薯条
zhayanjing 眨眼睛
zhayaobao 炸药包
zhayier 扎伊尔
zhayikan 乍一看
zhayoutiao 炸油条
zhazhiji 榨汁机
zhazidong 渣滓洞
zhebiwu 遮蔽物
