藏匿	cangni
乌亮	wuliang
乐亭	laoting
追诉	zhuisu
乐谱	yuepu
追认	zhuiren
秘方	mifang
愁苦	chouku
番茄	fanqie
番薯	fanshu
秋菊	qiuju
鄱阳	poyang
釉陶	youtao
委靡不振	weimibuzhen
秋月	qiuyue
愁肠	chouchang
釉彩	youcai
翻毛	fanmao
翻腾	fanteng
翻地	fandi
秋雨	qiuyu
秋声	qiusheng
生米煮成熟饭	shengmizhuchengshufan
秋霜	qiushuang
秋天	qiutian
翻天	fantian
牛魔王	niumowang
等米下锅	dengmixiaguo
待业青年	daiyeqingnian
秋波	qiubo
循序渐进	xunxujianjin
秋光	qiuguang
秋水	qiushui
秋汛	qiuxun
翻滚	fangun
秋游	qiuyou
秋明	qiuming
秋虫	qiuchong
秋日	qiuri
番禺	panyu
翻晒	fanshai
秋景	qiujing
秋叶	qiuye
翻胃	fanwei
翻转	fanzhuan
翻车	fanche
愁思	chousi
秋山	qiushan
秋收	qiushou
适应性	shiyingxing
悉尼	xini
悉心	xixin
乱糟糟	luanzaozao
悉数	xishu
乐业安居	leyeanju
秋实	qiushi
翻案	fanan
秋色	qiuse
释然	shiran
释名	shiming
卸磨杀驴	xiemoshalv
番瓜	fangua
釉质	youzhi
翻拍	fanpai
翻覆	fanfu
翻检	fanjian
秋季	qiuji
秋千	qiuqian
秋香	qiuxiang
翻身	fanshen
翻盘	fanpan
秋冬	qiudong
秋装	qiuzhuang
翻盖	fangai
翻浆	fanjiang
乌烟瘴气	wuyanzhangqi
翻新	fanxin
翻阅	fanyue
秋凉	qiuliang
血精灵	xuejingling
秋风	qiufeng
翻倍	fanbei
秋分	qiufen
翻领	fanling
愁绪	chouxu
释疑	shiyi
翻译	fanyi
秉烛夜游	bingzhuyeyou
重庆市	chongqingshi
秋毫	qiuhao
释义	shiyi
释放	shifang
秋夜	qiuye
失业率	shiyelv
释文	shiwen
程序设计	chengxusheji
管工	guangong
失之东隅	shizhidongyu
失之东隅收之桑榆	shizhidongyushouzhisangyu
管子	guanzi
迁客骚人	qiankesaoren
处之泰然	chuzhitairan
行之有效	xingzhiyouxiao
自视甚高	zishishengao
管脚	guanjiao
乏力	fali
年富力强	nianfuliqiang
管井	guanjing
管教	guanjiao
千军万马	qianjunwanma
管理	guanli
管事	guanshi
千家万户	qianjiawanhu
管卡	guanka|guanqia
航空港	hangkonggang
管家婆	guanjiapo
管涌	guanyong
管沟	guangou
千军易得一将难求	qianjunyideyijiangnanqiu
稗官野史	baiguanyeshi
行家里手	hangjialishou
乏味	fawei
垂帘听政	chuiliantingzheng
管路	guanlu
航空器	hangkongqi
管辖	guanxia
穆罕默德	muhanmode
管见	guanjian
管内	guannei
管壁	guanbi
升官发财	shengguanfacai
稳定性	wendingxing
身家性命	shenjiaxingming
管庄	guanzhuang
鼻窦炎	bidouyan
行军床	xingjunchuang
管家	guanjia
甜蜜蜜	tianmimi
管窥	guankui
稍安勿躁	shaoanwuzao
入室操戈	rushicaoge
管控	guankong
先礼后兵	xianlihoubing
制空权	zhikongquan
管材	guancai
管束	guanshu
笑容可掬	xiaorongkeju
管径	guanjing
长安街	changanjie
管制	guanzhi
千禧年	qianxinian
管段	guanduan
管乐	guanyue
管管	guanguan
管箍	guangu
利害得失	lihaideshi
箜篌	konghou
待字闺中	daiziguizhong
失之交臂	shizhijiaobi
管道	guandao
长袖善舞	changxiushanwu
管好	guanhao
管仲	guanzhong
管件	guanjian
利害攸关	lihaiyouguan
自家人	zijiaren
管线	guanxian
管窥蠡测	guankuilice
复写纸	fuxiezhi
航空母舰	hangkongmujian
管弦	guanxian
失之毫厘	shizhihaoli
称之为	chengzhiwei
失之毫厘差以千里	shizhihaolichayiqianli
自定义	zidingyi
知之为知之不知为不知	zhizhiweizhizhibuzhiweibuzhi
自负盈亏	zifuyingkui
衡阳	hengyang
称职	chenzhi
移出	yichu
移除	yichu
移防	yifang
稳压	wenya
鹅卵石	eluanshi
秀外慧中	xiuwaihuizhong
千锤百炼	qianchuibailian
自然而然	ziranerran
朱镕基	zhurongji
移用	yiyong
稳妥	wentuo
移栽	yizai
自留地	ziliudi
移动	yidong
臭名远扬	choumingyuanyang
自然环境	ziranhuanjing
称王	chengwang
千钧一发	qianjunyifa
循名责实	xunmingzeshi
自然规律	ziranguilv
千金一诺	qianjinyinuo
稳步	wenbu
稳婆	wenpo
牛角尖	niujiaojian
千岛湖	qiandaohu
称誉	chengyu
衡水	hengshui
稳当	wendang
臭名昭著	choumingzhaozhu
黎明	liming
衡量	hengliang
称量	chengliang
智多星	zhiduoxing
称叹	chengtan
称号	chenghao
衡器	hengqi
称呼	chenghu
稳固	wengu
重色轻友	zhongseqingyou
移置	yizhi
自然界	ziranjie
衡山	hengshan
移民	yimin
黎民	limin
移居	yiju
移情	yiqing
翻然悔悟	fanranhuiwu
重金属	zhongjinshu
称心	chenxin
知名度	zhimingdu
自然数	ziranshu
身外之物	shenwaizhiwu
稳定	wending
自然灾害	ziranzaihai
长久之计	changjiuzhiji
行色匆匆	xingsecongcong
衔铁	xiantie
衔接	xianjie
移植	yizhi
秀色可餐	xiusekecan
衔枚	xianmei
复印机	fuyinji
乌鲁木齐	wulumuqi
自怨自艾	ziyuanziyi|ziyuanziai
徇私	xunsi
称赞	chengzan
稳重	wenzhong
自然科学	zirankexue
笨鸟先飞	benniaoxianfei
年久失修	nianjiushixiu
移入	yiru
移送	yisong
自然资源	ziranziyuan
称意	chenyi
移交	yijiao
称道	chengdao
移门	yimen
称好	chenghao
移灵	yiling
自然保护区	ziranbaohuqu
千儿八百	qianerbabai
称作	chengzuo
复印件	fuyinjian
移位	yiwei
稳健	wenjian
稳坐	wenzuo
得饶人处且饶人	deraorenchuqieraoren
自然人	ziranren
复印纸	fuyinzhi
称为	chengwei
称谓	chengwei
称许	chengxu
称帝	chengdi
生儿育女	shengeryunv
鹅黄	ehuang
生杀予夺	shengshayuduo
生搬硬套	shengbanyingtao
稀有	xiyou
生拉硬扯	shenglayingche
生拉硬拽	shenglayingzhuai
垂手而得	chuishouerde
乌托邦	wutuobang
年近古稀	nianjinguxi
身手不凡	shenshoubufan
鹅肝	egan
鹅毛	emao
稳操胜算	wencaoshengsuan
稳操胜券	wencaoshengquan
自掘坟墓	zijuefenmu
我去	woqu
稀土	xitu
生气勃勃	shengqibobo
乌拉圭	wulagui
循环	xunhuan
我的天	wodetian
竹报平安	zhubaopingan
各执一词	gezhiyici
我辈	wobei
重操旧业	chongcaojiuye
翻白眼	fanbaiyan
短斤少两	duanjinshaoliang
缺斤少两	quejinshaoliang
我省	wosheng
选择题	xuanzeti
牛鬼蛇神	niuguisheshen
科技园	kejiyuan
自投罗网	zitouluowang
乱扣帽子	luankoumaozi
长白山	changbaishan
我见	wojian
臭氧层	chouyangceng
稀疏	xishu
各抒己见	geshujijian
各持己见	gechijijian
各执己见	gezhijijian
委托书	weituoshu
我局	woju
选择性	xuanzexing
自找麻烦	zizhaomafan
稀烂	xilan
射手座	sheshouzuo
我家	wojia
我军	wojun
稗官	baiguan
稀客	xike
稀罕	xihan
穆尔	muer
稀饭	xifan
科技馆	kejiguan
我所	wosuo
我的	wode
千斤顶	qianjinding
我想	woxiang
短兵相接	duanbingxiangjie
垂手可得	chuishoukede
笨手笨脚	benshoubenjiao
箍筋	gujin
我等	wodeng
缺斤短两	quejinduanliang
秋后算账	qiuhousuanzhang
和气生财	heqishengcai
稀释	xishi
稳扎稳打	wenzhawenda
种瓜得瓜	zhongguadegua
矫揉造作	jiaorouzaozuo
我将	wojiang
逢凶化吉	fengxionghuaji
我倒	wodao
我爸	woba
我们	women
委托人	weituoren
翻手为云覆手为雨	fanshouweiyunfushouweiyu
翻手为云	fanshouweiyun
血气方刚	xueqifanggang
我方	wofang
奥林匹克	aolinpike
策划	cehua
甜酸苦辣	tiansuankula
条陈	tiaochen
箱子	xiangzi
条子	tiaozi
笔杆子	biganzi
奥林巴斯	aolinbasi
很可能	henkeneng
策马	cema
自相矛盾	zixiangmaodun
条码	tiaoma
适可而止	shikeerzhi
入木三分	rumusanfen
策动	cedong
条款	tiaokuan
生机勃勃	shengjibobo
矫枉过正	jiaowangguozheng
血本无归	xuebenwugui
科西嘉	kexijia
条形	tiaoxing
奥格瑞玛	aogeruima
条理	tiaoli
自相残杀	zixiangcansha
香榭丽舍	xiangxielishe
条目	tiaomu
条桌	tiaozhuo
追根溯源	zhuigensuyuan
追本溯源	zhuibensuyuan
长歌当哭	changgedangku
香槟酒	xiangbinjiu
箱梁	xiangliang
香格里拉	xianggelila
箱号	xianghao
适配器	shipeiqi
策略	celue
条幅	tiaofu
生机盎然	shengjiangran
笨蛋	bendan
积极性	jijixing
重要性	zhongyaoxing
种植业	zhongzhiye
策应	ceying
箱底	xiangdi
追本穷源	zhuibenqiongyuan
御林军	yulinjun
追根究底	zhuigenjiudi
盘根究底	pangenjiudi
条案	tiaoan
盘根错节	pangencuojie
箱包	xiangbao
笨拙	benzhuo
策反	cefan
版权所有	banquansuoyou
私相授受	sixiangshoushou
垂杨柳	chuiyangliu
箱笼	xianglong
乐极生悲	lejishengbei
知根知底	zhigenzhidi
条条	tiaotiao
笨笨	benben
追根问底	zhuigenwendi
盘根问底	pangenwendi
积极分子	jijifenzi
条例	tiaoli
我醉欲眠	wozuiyumian
箱体	xiangti
条件	tiaojian
笨人	benren
条约	tiaoyue
条纹	tiaowen
重整旗鼓	chongzhengqigu
策论	celun
条文	tiaowen
生生世世	shengshengshishi
禾苗	hemiao
御医	yuyi
私生子	sishengzi
行行出状元	hanghangchuzhuangyuan|xingxingchuzhuangyuan
自我陶醉	ziwotaozui
重重叠叠	chongchongdiedie
自我牺牲	ziwoxisheng
微生物	weishengwu
积重难返	jizhongnanfan|jichongnanfan
得失参半	deshicanban
自身难保	zishennanbao
积微成著	jiweichengzhu
自告奋勇	zigaofenyong
笑靥	xiaoye
躬逢其盛	gongfengqisheng
长生不老	changshengbulao
长生不死	changshengbusi
各行其是	gexingqishi
篷布	pengbu
生生不已	shengshengbuyi
千秋大业	qianqiudaye
适得其反	shideqifan
各得其所	gedeqisuo
微乎其微	weihuqiwei
自得其乐	zideqile
生生不息	shengshengbuxi
年年有余	niannianyouyu
适逢其会	shifengqihui
长篇大论	changpiandalun
御驾	yujia
御用	yuyong
御膳	yushan
笑脸	xiaolian
怎么办	zenmeban
逢年过节	fengnianguojie
笑场	xiaochang
身先士卒	shenxianshizu
千千万万	qianqianwanwan
自我表现	ziwobiaoxian
生生死死	shengshengsisi
微处理器	weichuliqi
千千静听	qianqianjingting
千篇一律	qianpianyilv
年复一年	nianfuyinian
千秋万代	qianqiuwandai
生长素	shengzhangsu
称得上	chengdeshang
稳稳当当	wenwendangdang
和稀泥	huoxini
私生活	sishenghuo
简答题	jiandati
千年虫	qiannianchong
长生果	changshengguo
秭归	zigui
乘务员	chengwuyuan
御史	yushi
长年累月	changnianleiyue
自行车	zixingche
篷车	pengche
鹅行鸭步	exingyabu
御赐	yuci
年年岁岁	nianniansuisui
税务局	shuiwuju
筵席	yanxi
秩序	zhixu
制造业	zhizaoye
御寒	yuhan
乔迁之喜	qiaoqianzhixi
自知之明	zizhizhiming
先入之见	xianruzhijian
甜甜蜜蜜	tiantianmimi
长筒袜	changtongwa
自我解嘲	ziwojiechao
和盘托出	hepantuochu
笑看	xiaokan
竹篮打水	zhulandashui
竹篮打水一场空	zhulandashuiyichangkong
稀稀拉拉	xixilala
复选框	fuxuankuang
息息相通	xixixiangtong
笑柄	xiaobing
徇私枉法	xunsiwangfa
条条框框	tiaotiaokuangkuang
怎么样	zenmeyang
息息相关	xixixiangguan
御敌	yudi
御笔	yubi
我行我素	woxingwosu
自生自灭	zishengzimie
徇私舞弊	xunsiwubi
先知先觉	xianzhixianjue
知彼知己	zhibizhiji
各行各业	gehanggeye
各种各样	gezhonggeyang
笑笑	xiaoxiao
自私自利	zisizili
延年益寿	yannianyishou
御前	yuqian
笑着	xiaozhe
怎么着	zenmezhe
笑意	xiaoyi
版版六十四	banbanliushisi
笑道	xiaodao
笑颜	xiaoyan
躲躲闪闪	duoduoshanshan
简简单单	jianjiandandan
循循善诱	xunxunshanyou
御姐	yujie
长舌妇	changshefu
管委会	guanweihui
怎么会	zenmehui
笑傲	xiaoao
彼得堡	bidebao
翻箱倒柜	fanxiangdaogui
御侮	yuwu
徒乱人意	tuluanrenyi
重生父母	chongshengfumu
靠得住	kaodezhu
筹备组	choubeizu
延长线	yanchangxian
各自为政	geziweizheng
各自为战	geziweizhan
歃血为盟	shaxueweimeng
笑话	xiaohua
制造商	zhizaoshang
先入为主	xianruweizhu
船工	chuangong
冬藏	dongcang
冬节	dongjie
般若	bore
箭靶	jianba
船东	chuandong
街头巷尾	jietouxiangwei
乘警	chengjing
冬菇	donggu
盘子	panzi
盘盈	panying
简陋	jianlou
乘隙	chengxi
简阳	jianyang
盘陀	pantuo
科隆	kelong
科联	kelian
舰队	jiandui
乘除	chengchu
重头戏	zhongtouxi
牛头马面	niutoumamian
生产能力	shengchannengli
乘马	chengma
船台	chuantai
乌兰巴托	wulanbatuo
千疮百孔	qianchuangbaikong
简码	jianma
千姿百态	qianzibaitai
科大	keda
简历	jianli
盘古	pangu
磐石	panshi
船厂	chuanchang
委决不下	weijuebuxia
冬夏	dongxia
盘存	pancun
牛头不对马嘴	niutoubuduimazui
盘面	panmian
科达	keda
积善成德	jishanchengde
船期	chuanqi
盘龙	panlong
冬月	dongyue
筋疲力尽	jinpilijin
生产力	shengchanli
简爱	jianai
乘胜	chengsheng
筋疲力竭	jinpilijie
箭塔	jianta
航运	hangyun
科协	kexie
税款	shuikuan
冬雨	dongyu
简直	jianzhi
盘亏	pankui
德意志	deyizhi
垂头丧气	chuitousangqi
船坞	chuanwu
冬雪	dongxue
千辛万苦	qianxinwanku
冬至	dongzhi
冬天	dongtian
航天	hangtian
冬青	dongqing
生关死劫	shengguansijie
船夫	chuanfu
千差万别	qianchawanbie
舶来	bolai
千头万绪	qiantouwanxu
科班	keban
千门万户	qianmenwanhu
科目	kemu
箭步	jianbu
盘点	pandian
冬眠	dongmian
乘虚	chengxu
简餐	jiancan
船龄	chuanling
生意兴隆	shengyixinglong
乌兰浩特	wulanhaote
简洁	jianjie
乘法	chengfa
税法	shuifa
科举	keju
乘兴	chengxing
得意洋洋	deyiyangyang
航测	hangce
卸妆油	xiezhuangyou
航渡	hangdu
科学	kexue
航海	hanghai
简明	jianming
冬日	dongri
简易	jianyi
科别	kebie
盘踞	panju
盘中	panzhong
舱口	cangkou
船员	chuanyuan
科员	keyuan
船只	chuanzhi
舟车	zhouche
科甲	kejia
简图	jiantu
盘曲	panqu
船帆	chuanfan
舟山	zhoushan
盘山	panshan
船尾	chuanwei
税收	shuishou
简慢	jianman
和颜悦色	heyanyuese
身首异处	shenshouyichu
乘以	chengyi
自尊心	zizunxin
乱头粗服	luantoucufu
舰炮	jianpao
乘数	chengshu
冬寒	donghan
乌兰察布	wulanchabu
失道寡助	shidaoguazhu
船家	chuanjia
舱室	cangshi
等闲之辈	dengxianzhibei
等闲视之	dengxianshizhi
乘客	chengke
税额	shuie
航空	hangkong
得意之作	deyizhizuo
得道多助	dedaoduozhu
得道多助失道寡助	dedaoduozhushidaoguazhu
科尔	keer
科名	keming
税金	shuijin
盘锦	panjin
箭镞	jianzu
简报	jianbao
冬瓜	donggua
科技	keji
简捷	jianjie
向前看	xiangqiankan
冬泉	dongquan
税捐	shuijuan
乌头白马生角	wutoubaimashengjiao
乔装打扮	qiaozhuangdaban
航拍	hangpai
舵手	duoshou
乘势	chengshi
航模	hangmo
乏善可陈	fashankechen
自决权	zijuequan
船票	chuanpiao
税票	shuipiao
航标	hangbiao
盘桓	panhuan
简朴	jianpu
舟楫	zhouji
航速	hangsu
盘整	panzheng
箭楼	jianlou
船桅	chuanwei
科林	kelin
舟桥	zhouqiao
冬梅	dongmei
舷梯	xianti
简要	jianyao
盘根	pangen
舵机	duoji
科长	kezhang
船长	chuanzhang
舰长	jianzhang
冬季	dongji
税务	shuiwu
船务	chuanwu
船籍	chuanji
航行	hangxing
税制	shuizhi
简版	jianban
盘片	panpian
简牍	jiandu
航程	hangcheng
税种	shuizhong
航向	hangxiang
船身	chuanshen
彻头彻尾	chetouchewei
简称	jiancheng
行善积德	xingshanjide
舰艇	jianting
船舶	chuanbo
船舱	chuancang
船舷	chuanxian
舰船	jianchuan
盘符	panfu
箭头	jiantou
船头	chuantou
冬装	dongzhuang
程门立雪	chengmenlixue
自闭症	zibizheng
简单	jiandan
税单	shuidan
舱单	cangdan
盘问	panwen
船闸	chuanzha
科普	kepu
生产资料	shengchanziliao
航次	hangci
航道	hangdao
得意门生	deyimensheng
生产关系	shengchanguanxi
乘凉	chengliang
舱门	cangmen
自立门户	zilimenhu
盘剥	panbo
剩女	shengnv
乐善好施	leshanhaoshi
箭袋	jiandai
艄公	shaogong
每况愈下	meikuangyuxia
第六个	diliuge
简介	jianjie
简体	jianti
船体	chuanti
盘坐	panzuo
生意人	shengyiren
简化	jianhua
冬令	dongling
简练	jianlian
盘结	panjie
航线	hangxian
生产线	shengchanxian
盘费	panfei
科幻	kehuan
航母	hangmu
盘缠	panchan
简约	jianyue
惩前毖后	chengqianbihou
简编	jianbian
生产方式	shengchanfangshi
冬衣	dongyi
盘诘	panjie
赞美诗	zanmeishi
船主	chuanzhu
得意忘形	deyiwangxing
简讯	jianxun
航迹	hangji
行将就木	xingjiangjiumu
盘旋	panxuan
简谱	jianpu
生产商	shengchanshang
冬夜	dongye
税率	shuilv
笋子	sunzi
稳如泰山	wenrutaishan
魏碑	weibei
千娇百媚	qianjiaobaimei
处女膜	chunvmo
魏县	weixian
律动	lvdong
委顿	weidun
委琐	weisuo
千刀万剐	qiandaowangua
自寻死路	zixunsilu
魏晋	weijin
迁怒于人	qiannuyuren
自始至终	zishizhizhong
律法	lvfa
生灵涂炭	shenglingtutan
委派	weipai
牛刀小试	niudaoxiaoshi
魏晨	weichen
律师	lvshi
委蛇	weiyi
魏国	weiguo
委曲	weiqu
委屈	weiqu
很快	henkuai
秉性	bingxing
复杂性	fuzaxing
秉烛	bingzhu
自寻烦恼	zixunfannao
委靡	weimi
处女座	chunvzuo
牛刀割鸡	niudaogeji
律宗	lvzong
委实	weishi
很多	henduo
秉持	bingchi
律所	lvsuo
委托	weituo
逶迤	weiyi
魏征	weizheng
委身	weishen
自寻短见	zixunduanjian
自娱自乐	ziyuzile
徐娘半老	xuniangbanlao
很好	henhao
委婉	weiwan
笤帚	tiaozhou
律例	lvli
委任	weiren
律令	lvling
很强	henqiang
很弱	henruo
律诗	lvshi
很高	hengao
符节	fujie
秃子	tuzi
稚子	zhizi
自作聪明	zizuocongming
徐勇	xuyong
秃驴	tulv
等价物	dengjiawu
自食其力	zishiqili
乘风破浪	chengfengpolang
待价而沽	daijiaergu
自食其果	zishiqiguo
血盆大口	xuependakou
千依百顺	qianyibaishun
长命百岁	changmingbaisui
徐克	xuke
篡位夺权	cuanweiduoquan
年逾古稀	nianyuguxi
自命不凡	zimingbufan
身价百倍	shenjiabaibei
自食其言	zishiqiyan
黏膜	nianmo
牛仔服	niuzaifu
秉公办理	binggongbanli
生命力	shengmingli
身体力行	shentilixing
黏胶	nianjiao
秋风过耳	qiufengguoer
科伦坡	kelunpo
黏土	niantu
秉公无私	binggongwusi
颓丧	tuisang
签到	qiandao
千人一面	qianrenyimian
各个击破	gegejipo
丢人现眼	diurenxianyan
徐来	xulai
重修旧好	chongxiujiuhao
笑傲江湖	xiaoaojianghu
黏液	nianye
自命清高	zimingqinggao
答题	dati
答曰	dayue
移风易俗	yifengyisu
符号	fuhao
长途跋涉	changtubashe
符咒	fuzhou
签署	qianshu
血债累累	xuezhaileilei
签合同	qianhetong
身体发肤	shentifafu
签发	qianfa
黏性	nianxing
秃发	tufa
自信心	zixinxin
黏度	niandu
答应	daying
颓废	tuifei
颓靡	tuimi
颓唐	tuitang
秃鹰	tuying
签字	qianzi
繁体字	fantizi
简体字	jiantizi
知人之明	zhirenzhiming
乘人之危	chengrenzhiwei
牛仔裤	niuzaiku
答案	daan
乌合之众	wuhezhizhong
颓然	tuiran
签名	qianming
每分钟	meifenzhong
自作多情	zizuoduoqing
稚拙	zhizhuo
待人接物	dairenjiewu
答拜	dabai
秉公执法	binggongzhifa
秋风扫落叶	qiufengsaoluoye
签押	qianya
千人所指	qianrensuozhi
稚气	zhiqi
条件反射	tiaojianfanshe
秃顶	tuding
箪食瓢饮	dansipiaoyin|danshipiaoyin
射人先射马	sherenxianshema
算什么	suanshenme
自作自受	zizuozishou
各人自扫门前雪莫管他家瓦上霜	gerenzisaomenqianxuemoguantajiawashangshuang
短信息	duanxinxi
答复	dafu
利欲熏心	liyuxunxin
敌众我寡	dizhongwogua
利令智昏	lilingzhihun
签条	qiantiao
徐徐	xuxu
徐闻	xuwen
秃头	tutou
答卷	dajuan
签章	qianzhang
等价交换	dengjiajiaohuan
知人善任	zhirenshanren
答辩	dabian
笃信好学	duxinhaoxue
稚嫩	zhinen
符合	fuhe
乐悠悠	leyouyou
年休假	nianxiujia
长他人志气灭自己威风	zhangtarenzhiqimiezijiweifeng|changtarenzhiqimiezijiweifeng
制作人	zhizuoren
签售	qianshou
和风细雨	hefengxiyu
生命线	shengmingxian
租赁费	zulinfei
签约	qianyue
条分缕析	tiaofenlvxi
签证	qianzheng
身份证	shenfenzheng
迄今为止	qijinweizhi
秃鹫	tujiu
黏合剂	nianheji
答谢	daxie
徐州	xuzhou
自作主张	zizuozhuzhang
繁芜	fanwu
第七	diqi
繁荣	fanrong
繁花	fanhua
簪缨世族	zanyingshizu
入乡随俗	ruxiangsuisu
第三	disan
敏感	mingan
身经百战	shenjingbaizhan
繁盛	fansheng
长幼有序	zhangyouyouxu
自强不息	ziqiangbuxi
每期	meiqi
每月	meiyue
身强力壮	shenqianglizhuang
每股	meigu
第二	dier
第十	dishi
每天	meitian
第一	diyi
乱弹琴	luantanqin|luandanqin
第五	diwu
系带	jidai
利比亚	libiya
系列	xilie
繁殖	fanzhi
千丝万缕	qiansiwanlv
每时	meishi
利比里亚	libiliya
每日	meiri
繁星	fanxing
系别	xibie
片纸只字	pianzhizhizi
第四	disi
系统图	xitongtu
每周	meizhou
乌纱帽	wushamao
每层	meiceng
篆书	zhuanshu
血红蛋白	xuehongdanbai
系统性	xitongxing
繁忙	fanmang
秕糠	bikang
系数	xishu
篆字	zhuanzi
第宅	dizhai
千纸鹤	qianzhihe
升级包	shengjibao
敏锐	minrui
敏捷	minjie
系指	xizhi
每桶	meitong
每笔	meibi
每年	meinian
繁衍	fanyan
繁复	fanfu
每种	meizhong
自给自足	zijizizu|zigeizizu
管弦乐	guanxianyue
繁简	fanjian
系统盘	xitongpan
每每	meimei
系着	jizhe
每次	meici
长幼尊卑	zhangyouzunbei
第六	diliu
稍纵即逝	shaozongjishi
繁杂	fanza
第九	dijiu
等比例	dengbili
笼络人心	longluorenxin
繁体	fanti
第八	diba
每位	meiwei
每人	meiren
繁华	fanhua
系念	xinian
繁缛	fanru
系缚	xifu
系统	xitong
繁育	fanyu
篆刻	zhuanke
和衷共济	hezhonggongji
往昔	wangxi
自讨苦吃	zitaokuchi
入世	rushi
稂莠	langyou
造谣惑众	zaoyaohuozhong
街谈巷议	jietanxiangyi
稿子	gaozi
等离子	denglizi
入耳	ruer
入院	ruyuan
入主出奴	ruzhuchunu
入队	rudui
入戏	ruxi
牛高马大	niugaomada
重峦叠嶂	chongluandiezhang
笑话百出	xiaohuabaichu
等方面	dengfangmian
各方面	gefangmian
千方百计	qianfangbaiji
微言大义	weiyandayi
各为其主	geweiqizhu
入股	rugu
入土	rutu
入超	ruchao
入场	ruchang
秋毫无犯	qiuhaowufan
入境	rujing
长方形	changfangxing
入球	ruqiu
往事	wangshi
生离死别	shenglisibie
入画	ruhua
舞文弄墨	wuwennongmo
入赘	ruzhui
追亡逐北	zhuiwangzhubei
千变万化	qianbianwanhua
千言万语	qianyanwanyu
篇目	pianmu
制高点	zhigaodian
知识点	zhishidian
入眠	rumian
种族歧视	zhongzuqishi
入眼	ruyan
入港	rugang
自讨没趣	zitaomeiqu
入水	rushui
长夜漫漫	changyemanman
缺衣少食	queyishaoshi
入流	ruliu
入时	rushi
自变量	zibianliang
往日	wangri
入口	rukou
片言只字	pianyanzhizi
造谣中伤	zaoyaozhongshang
片言只语	pianyanzhiyu
入围	ruwei
甜言软语	tianyanruanyu
入骨	rugu
篇幅	pianfu
入账	ruzhang
入库	ruku
知识库	zhishiku
入迷	rumi
入魔	rumo
入室	rushi
入定	ruding
简言之	jianyanzhi
入神	rushen
甜言蜜语	tianyanmiyu
私房钱	sifangqian
篇名	pianming
我为鱼肉	woweiyurou
年夜饭	nianyefan
入狱	ruyu
入镜	rujing
往返	wangfan
秋高气爽	qiugaoqishuang
簇拥	cuyong
入手	rushou
自主权	zizhuquan
笔记本	bijiben
稿酬	gaochou
入梦	rumeng
入梅	rumei
复读机	fuduji
篱笆	liba
自高自大	zigaozida
造谣生事	zaoyaoshengshi
往复	wangfu
重峦迭嶂	chongluandiezhang
乞哀告怜	qiaigaolian
彷徨	panghuang
年高德劭	niangaodeshao
各就各位	gejiugewei
往往	wangwang
自言自语	ziyanziyu
长话短说	changhuaduanshuo
自说自话	zishuozihua
篇章	pianzhang
知识产权	zhishichanquan
入道	rudao
入门	rumen
备忘录	beiwanglu
知识分子	zhishifenzi
入伍	ruwu
私设公堂	sishegongtang
丢卒保车	diuzubaoju|diuzubaoche
入伙	ruhuo
长方体	changfangti
系主任	xizhuren
入侵	ruqin
繁文缛节	fanwenrujie
知识经济	zhishijingji
稿费	gaofei
稿纸	gaozhi
牛郎织女	niulangzhinv
德高望重	degaowangzhong|degaowangchong
年高望重	niangaowangzhong|niangaowangchong
入夜	ruye
并蒂莲	bingdilian
并蒂	bingdi
闷葫芦	menhulu
瓶子	pingzi
剪草除根	jiancaochugen
并联	binglian
瓶颈	pingjing
并不	bingbu
盖世太保	gaishitaibao
并且	bingqie
并力	bingli
盖世无双	gaishiwushuang
差动	chadong
冻土	dongtu
冻雨	dongyu
并起	bingqi
并进	bingjin
并吞	bingtun
差事	chaishi
并列	binglie
冻死	dongsi
迸裂	benglie
判若两人	panruoliangren
差池	chachi
闯荡江湖	chuangdangjianghu
闲花野草	xianhuayecao
差别	chabie
差距	chaju
差遣	chaiqian
并口	bingkou
新世界	xinshijie
并罚	bingfa
戕贼	qiangzei
将功赎罪	jianggongshuzui
立功赎罪	ligongshuzui
并购	binggou
差异	chayi
并发	bingfa
迸发	bengfa
前功尽弃	qiangongjinqi
关节炎	guanjieyan
冻害	donghai
将功补过	jianggongbuguo
将勤补拙	jiangqinbuzhuo
差额	chae
差错	chacuo
并排	bingpai
将功折罪	jianggongzhezui
差可	chake
并行	bingxing
差生	chasheng
并处	bingchu
总工程师	zonggongchengshi
并称	bingcheng
差役	chaiyi
并入	bingru
瓶装	pingzhuang
冷若冰霜	lengruobingshuang
并将	bingjiang
疟疾	nueji
冻疮	dongchuang
半工半读	bangongbandu
羡慕嫉妒恨	xianmujiduhen
差值	chazhi
阈值	yuzhi
差使	chaishi
瓶体	pingti
冻伤	dongshang
差价	chajia
冻结	dongjie
新世纪	xinshiji
并肩	bingjian
并州	bingzhou
新东方	xindongfang
端阳节	duanyangjie
姜子牙	jiangziya
疲劳	pilao
交际花	jiaojihua
逆耳	nier
童子鸡	tongziji
闻达	wenda
逆袭	nixi
朔月	shuoyue
凝聚力	ningjuli
塑胶	sujiao
塑封	sufeng
塑壳	suke
逆境	nijing
逆天	nitian
疗法	liaofa
逆光	niguang
逆水	nishui
逆流	niliu
朔日	shuori
逆转	nizhuan
疲软	piruan
疲困	pikun
